"context","source","target"
"AcidArrowDescription","Launch an acid arrow."
"FogCloudTitle","Fog Cloud"
"GlyphOfWardingDescription","Creates a fixed magical trap."
"GlyphOfWardingTitle","Glyph of Warding"
"GuidanceDescription","Increase an ally's ability checks for a limited time."
"GuidanceTitle","Guidance"
"GuidingBoltDescription","Launch a radiant attack against an enemy and make them easy to hit."
"GuidingBoltTitle","Guiding Bolt"
"HasteDescription","Make an ally faster and more agile, and grant them an additional action for a limited time."
"HasteTitle","Haste"
"HealingWordDescription","Heal an ally you can see."
"HealingWordTitle","Healing Word"
"HeroismDescription","An ally gains temporary hit points and cannot be frightened for a limited time."
"HeroismTitle","Heroism"
"HideousLaughterDescription","Make an enemy helpless with irresistible laughter."
"HideousLaughterTitle","Hideous Laughter"
"HoldPersonDescription","Paralyze a humanoid you can see for a limited time."
"HoldPersonTitle","Hold Person"
"HuntersMarkDescription","An enemy gets additional damage from you, and you can easily detect it for a limited time."
"HuntersMarkTitle","Hunter's Mark"
"HypnoticPatternDescription","Charms enemies to make them harmless until attacked."
"HypnoticPatternTitle","Hypnotic Pattern"
"IdentifyDescription","Identify the hidden properties of an object."
"IdentifyTitle","Identify"
"InflictWoundsDescription","Deal necrotic damage to an enemy you hit."
"InflictWoundsTitle","Inflict Wounds"
"InvisibilityDescription","Make an ally invisible for a limited time."
"InvisibilityTitle","Invisibility"
"JumpDescription","Increase an ally's jumping distance."
"JumpTitle","Jump"
"KnockDescription","Magically open locked doors, chests, and the like."
"KnockTitle","Knock"
"LesserRestorationDescription","Remove a detrimental condition from an ally."
"LesserRestorationTitle","Lesser Restoration"
"LevitateTitle","Levitate"
"LightDescription","An object you can touch emits a powerful light for a limited time."
"LightningBoltDescription","Unleash a stroke of lightning in a direction of your choice, damaging everyone it touches."
"LightningBoltTitle","Lightning Bolt"
"LightTitle","Light"
"LongstriderDescription","Increases an ally's speed by two cells per turn."
"LongstriderTitle","Longstrider"
"MageArmorDescription","Provide magical armor to an ally who doesn't wear armor."
"MageArmorTitle","Mage Armor"
"MagicCircleDescription","Creates a magic circle which protects against attacks by celestials, elementals, feys, fiends, and undead, and restricts their movement."
"MagicCircleProtectOuterDescription","Celestials, elementals, feys, fiends, and undead attack creatures inside the circle with disadvantage, and cannot enter the circle."
"MagicCircleProtectOuterTitle","Magic Circle (protects from outer enemies)"
"MagicCircleRestrictInnerDescription","Celestials, elementals, feys, fiends, and undead attack creatures outside the circle with disadvantage, and cannot leave the circle."
"MagicCircleRestrictInnerTitle","Magic Circle (blocks enemies inside)"
"MagicCircleTitle","Magic Circle"
"MagicMissileDescription","Strike one or more enemies with projectiles that can't miss."
"MagicMissileTitle","Magic Missile"
"MagicWeaponDescription","A nonmagical weapon becomes a +1 weapon for up to one hour."
"MagicWeaponTitle","Magic Weapon"
"MassHealingWordDescription","Instantly heals up to six allies you can see."
"MassHealingWordTitle","Mass Healing Word"
"MistyStepDescription","Teleports you to a free cell you can see, no more than 6 cells away."
"MistyStepTitle","Misty Step"
"PassWithoutTraceDescription","Make yourself and up to 5 allies stealthier for one hour."
"PassWithoutTraceTitle","Pass Without Trace"
"PoisonSprayDescription","Fire a poison spray at an enemy you can see, within range."
"PoisonSprayTitle","Poison Spray"
"PrayerOfHealingDescription","Heal multiple allies at the same time."
"PrayerOfHealingTitle","Prayer of Healing"
"ProtectionFromEnergyAcidDescription","Touch one willing creature to give them resistance to this damage type."
"ProtectionFromEnergyAcidTitle","Protection from Acid"
"ProtectionFromEnergyColdDescription","Touch one willing creature to give them resistance to this damage type."
"ProtectionFromEnergyColdTitle","Protection from Cold"
"ProtectionFromEnergyDescription","Touch one willing creature to give them resistance to this damage type."
"ProtectionFromEnergyFireDescription","Touch one willing creature to give them resistance to this damage type."
"ProtectionFromEnergyFireTitle","Protection from Fire"
"ProtectionFromEnergyLightningDescription","Touch one willing creature to give them resistance to this damage type."
"ProtectionFromEnergyLightningTitle","Protection from Lightning"
"ProtectionFromEnergyThunderDescription","Touch one willing creature to give them resistance to this damage type."
"ProtectionFromEnergyThunderTitle","Protection from Thunder"
"ProtectionFromEnergyTitle","Protection from Energy"
"ProtectionFromEvilGoodDescription","Touch an ally to give them protection from evil or good creatures for a limited time."
"ProtectionFromEvilGoodTitle","Protect vs Evil & Good"
"ProtectionFromPoisonDescription","Cures and protects against poison."
"ProtectionFromPoisonTitle","Protection from Poison"
"RaiseDeadDescription","Brings one creature back to life, up to 10 days after death."
"RaiseDeadTitle","Raise Dead"
"RayOfEnfeeblementDescription","Weaken an enemy so they deal less damage for one minute."
"RayOfEnfeeblementTitle","Ray of Enfeeblement"
"RayOfFrostDescription","Launch a freezing ray at an enemy to damage and slow them."
"RayOfFrostTitle","Ray of Frost"
"RemoveCurseDescription","Removes all curses affecting the target."
"RemoveCurseTitle","Remove Curse"
"ResistanceDescription","Grant an ally a one-time bonus to saving throws."
"ResistanceTitle","Resistance"
"ResurrectionDescription","Brings one creature back to life, up to 100 years after death."
"ResurrectionTitle","Resurrection"
"RevivifyDescription","Brings one creature back to life, up to 1 minute after death."
"RevivifyTitle","Revivify"
"SacredFlameDescription","Strike an enemy with radiant damage."
"SacredFlameTitle","Sacred Flame"
"SanctuaryDescription","Temp"
"SanctuaryTitle","Sanctuary"
"ScorchingRayDescription","Fling rays of fire at one or more enemies."
"ScorchingRayTitle","Scorching Ray"
"SeeInvisibilityDescription","You can see invisible creatures."
"SeeInvisibilityTitle","See Invisibility"
"ShadowArmorDescription","Grants 3 temporary hit points for one minute."
"ShadowArmorTitle","Shadow Armor"
"ShadowDaggerDescription","Launches an illusionary dagger that causes psychic damage."
"ShadowDaggerTitle","Shadow Dagger"
"ShatterDescription","Triggers a sudden noise that causes Thunder Damage in a 2-cell radius."
"ShatterTitle","Shatter"
"ShieldDescription","Increase your AC by 5 just before you would take a hit."
"ShieldOfFaithDescription","Increase an ally's AC by 2 for a limited time."
"ShieldOfFaithTitle","Shield of Faith"
"ShieldTitle","Shield"
"ShockingGraspDescription","Damage and daze an enemy on a successful touch."
"ShockingGraspTitle","Shocking Grasp"
"SleepTitle","Sleep"
"SleetStormDescription","Creates an area where the ground is slippery, vision is obscured, and concentration is harder."
"SleetStormTitle","Sleet Storm"
"SlowDescription","Slows and impairs the actions of up to 6 creatures."
"SlowTitle","Slow"
"SpareTheDyingDescription","Touch a dying ally to stabilize them."
"SpareTheDyingTitle","Spare the Dying"
"SpiderClimbDescription","Touch an ally to allow them to climb walls like a spider for a limited time."
"SpiderClimbTitle","Spider Climb"
"SpiritGuardiansDescription","Call forth spirits to protect you."
"SpiritGuardiansTitle","Spirit Guardians"
"SpiritualWeaponDescription","Summon a weapon that fights for you."
"SpiritualWeaponTitle","Spiritual Weapon"
"StinkingCloudDescription","Create a cloud of incapacitating, noxious gas."
"StinkingCloudTitle","Stinking Cloud"
"ThunderwaveDescription","Emit a wave of force that causes damage and pushes creatures and objects away."
"ThunderwaveTitle","Thunderwave"
"TonguesDescription","Grants knowledge of all languages for one hour."
"TonguesTitle","Tongues"
"TrueStrikeDescription","Increases your chance to hit a target you can see, one time."
"TrueStrikeTitle","True Strike"
"VampiricTouchDescription","Grants you a life-draining melee attack for one minute."
"VampiricTouchTitle","Vampiric Touch"
"WallOfFireDescription","Create a burning wall that injures creatures in or next to it."
"WallOfFireLineTitle","Wall of Fire (line)"
"WallOfFireTitle","Wall of Fire"
"WaterBreathingDescription","Grants up to ten creatures the ability to breathe underwater."
"WaterBreathingTitle","Water Breathing"
"WaterWalkDescription","Grants you to ability to walk on liquid surfaces for one hour."
"WaterWalkTitle","Water Walk"
"WindWallDescription","Create a wall of wind that causes damage, pushes creatures and objects away, and disperses fogs and gases."
"WindWallTitle","Wind Wall"
"AnnoyingBeeTitle","Annoying Bee"
"AnnoyingBeeDescription","The target sees an illusional bee harassing them and has disadvantage on concentration checks until the start of their next turn."
"GreaseTitle","Grease"
"GreaseDescription","Cover an area of 2 x 2 cells with grease. Creatures trying to cross it may fall prone."
"GoodberryTitle","Goodberry"
"DetectPoisonAndDiseaseTitle","Detect Poison and Disease"
"DetectPoisonAndDiseaseDescription","You sense the presence and location of poisonous creatures and diseases within 6 cells of you."
"ComprehendLanguagesTitle","Comprehend Languages"
"ComprehendLanguagesDescription","For the duration of the spell, you understand the literal meaning of any spoken words that you hear."
"AnimalFriendshipTitle","Animal Friendship"
"AnimalFriendshipDescription","Choose a beast that you can see within the spell's range. The beast must make a Wisdom saving throw or be charmed for the spell's duration."
"PurifyFoodTitle","Purify Food"
"PurifyFoodDescription","All non-magical food within a sphere 5 feet in radius is purified and rendered free of poison and disease."
"EntangleTitle","Entangle"
"EntangleDescription","Enemies in a four-cell square area are restrained if they fail an STR saving throw"
"CommandTitle","Command"
"CommandTitleDescription","You speak one word to command a creature to perform a simple action"
"CommandApproachTitle","Approach"
"CommandApproachDescription","The target moves toward you by the shortest and most direct route"
"CommandDropTitle","Drop"
"CommandDropDescription","The target drops what it is holding and ends its turn"
"CommandFleeTitle","Flee"
"CommandFleeDescription","The target spends its turn running away"
"CommandGrovelTitle","Grovel"
"CommandGrovelDescription","The target falls prone and ends its turn"
"CommandHaltTitle","Halt"
"CommandHaltDescription","The target doesn't move and doesn't take actions"
"CalmEmotionsTitle","Calm Emotions"
"CalmEmotionsOnAllyTitle","Calm Ally"
"CalmEmotionsOnAllyDescription","Stops one or more creatures from being charmed or frightened."
"CalmEmotionsOnEnemyTitle","Calm Enemy"
"AlarmTitle","Alarm"
"AlarmDescription","Magically detects roaming monsters when camping on the road."
"Create or Destroy waterTitle","Create or Destroy Water"
"Create or Destroy waterDescription","Temp"
"CreateWaterTitle","Create Water"
"CreateWaterDescription","Temp"
"DestroyWaterTitle","Destroy Water"
"DestroyWaterDescription","Temp"
"Floating DiskTitle","Floating Disk"
"Floating DiskDescription","Temp"
"Purify FoodTitle","Purify Food"
"Purify FoodDescription","Temp"
"SilenceTitle","Silence"
"SilenceDescription","Creates a sphere four cells in radius, inside which sound cannot exist. Stops thunder damage and prevents spellcasting using verbal components."
"WardingBondTitle","Warding Bond"
"WardingBondDescription","Temp"
"ConditionRestrictedInsideMagicCircleTitle","Restricted Inside Magic Circle"
"ConditionProtectedInsideMagicCircleTitle","Protected Inside Magic Circle"
"Shine_Title","Shine"
"Shine_Description","An enemy you can see becomes luminous for a while."
"Sparkle_Title","Sparkle"
"Sparkle_Description","Target up to three objects that can be illuminated and light them up immediately."
"GoodberryDescription","Creates 10 berries infused with magic. Eating a berry restores 1 hit point and provides sustenance for a long rest. Berries vanish after a long rest."
"ColorSprayDescription","Spray a luminous crone that briefly blinds your enemies."
"ConjureAnimalsDescription","Summon spirits in the form of beasts to help you in battle"
"ConjureAnimalsFourBeastsDescription","4 medium beasts are conjured"
"ConjureAnimalsFourBeastsTitle","Conjure 4 Beasts"
"ConjureAnimalsOneBeastDescription","1 powerful beast is conjured"
"ConjureAnimalsOneBeastTitle","Conjure 1 Beast"
"ConjureAnimalsTitle","Conjure Animal"
"ConjureAnimalsTwoBeastsDescription","2 beasts are conjured"
"ConjureAnimalsTwoBeastslTitle","Conjure 2 Beasts"
"GustOfWindTitle","Gust of Wind"
"LevitateDescription","Allow a creature to levitate and gain control of its aerial movement for a limited time. Can affect enemies if their size is medium or smaller."
"IdentifyCreaturesTitle","Identify Creatures"
"IdentifyCreaturesDescription","Reveals full bestiary knowledge for the affected creatures."
"BanishmentTitle","Banishment"
"BanishmentDescription","Banishes a creature as long as you concentrate. The creature can be permanently banished if it is extraplanar."
"BlackTentaclesTitle","Black Tentacles"
"BlackTentaclesDescription","Conjures black tentacles that restrain and damage creatures within the area of effect."
"BlightTitle","Blight"
"BlightDescription","Drains life from a creature, causing massive necrotic damage."
"ConfusionTitle","Confusion"
"ConfusionDescription","Creates confusion and erratic behavior in a creature, possibly leading it to attack its allies."
"ConjureMinorElementalsTitle","Conjure Minor Elementals"
"ConjureMinorElementalsDescription","Conjure elemental creatures under your command, which are dismissed when the spell ends or is broken."
"ConjureMinorElementalsOneTitle","Conjure 1 Elemental"
"ConjureMinorElementalsOneDescription","1 elemental is conjured (CR 2)."
"ConjureMinorElementalsTwoTitle","Conjure 2 Elementals"
"ConjureMinorElementalsTwoDescription","2 elementals are conjured (CR 2)."
"ConjureMinorElementalsFourTitle","Conjure 4 Elementals"
"ConjureMinorElementalsFourDescription","4 elementals are conjured (CR 1/2)."
"DeathWardTitle","Death Ward"
"DeathWardDescription","Protects the creature once against instant death or being reduced to 0 hit points."
"DimensionDoorTitle","Dimension Door"
"DimensionDoorDescription","Transfers the caster and a friendly creature to a specified destination."
"FireShieldTitle","Fire Shield"
"FireShieldDescription","Grants resistance to fire or cold, and damages creatures attacking the caster with melee attacks."
"FireShieldWarmTitle","Warm Shield"
"FireShieldWarmDescription","Resistance to cold damage; attackers receive fire damage."
"FireShieldColdTitle","Cold Shield"
"FireShieldColdDescription","Resistance to fire damage; attackers receive cold damage."
"FreedomOfMovementTitle","Freedom of Movement"
"FreedomOfMovementDescription","Grants immunity to movement restrictions, as well as being paralyzed or restrained."
"GiantInsectTitle","Giant Insect"
"GiantInsectDescription","Conjures a giant version of a natural insect or arthropod."
"GreaterInvisibilityTitle","Greater Invisibility"
"GreaterInvisibilityDescription","Target becomes invisible for the duration, even when attacking or casting spells."
"GuardianOfFaithTitle","Guardian of Faith"
"GuardianOfFaithDescription","Conjures a large spectral guardian that damages approaching enemies."
"IceStormTitle","Ice Storm"
"IceStormDescription","Causes bludgeoning and cold damage in the area, and turns the ground into difficult terrain."
"PhantasmalKillerTitle","Phantasmal Killer"
"PhantasmalKillerDescription","Causes psychic damage to the target creature with each turn, unless a saving throw is successful or the effect ends."
"StoneskinTitle","Stoneskin"
"StoneskinDescription","Grants resistance to non-magical bludgeoning, slashing, and piercing damage."
"WallOfFireRingInnerTitle","Wall of Fire (Ring/Inner)"
"WallOfFireRingOuterTitle","Wall of Fire (Ring/Outer)"
"SleepDescription","Put a number of creatures to sleep for a limited time."
"CloudKillTitle","Cloudkill"
"CloudKillDescription","Creates an obscuring and poisonous cloud. The cloud moves every round."
"ConeOfColdTitle","Cone of Cold"
"ConeOfColdDescription","Inflicts massive cold damage in the cone of effect."
"ConjureElementalTitle","Conjure Elemental"
"ConjureElementalDescription","Conjures an elemental of the chosen element that fights alongside you. If you lose concentration, the elemental remains and becomes hostile."
"ConjureElementalAirTitle","Conjure Elemental (Air)"
"ConjureElementalEarthTitle","Conjure Elemental (Earth)"
"ConjureElementalFireTitle","Conjure Elemental (Fire)"
"ContagionTitle","Contagion"
"ContagionDescription","Hit a creature to inflict a disease from the options."
"ContagionBlindingSicknessTitle","Blinding Sickness"
"ContagionBlindingSicknessDescription","The creature has disadvantage on Wisdom checks and Wisdom saving throws, and is blinded."
"ContagionFilthFeverTitle","Filth Fever"
"ContagionFilthFeverDescription","The creature has disadvantage on Strength checks, Strength saving throws, and attack rolls that use Strength."
"ContagionFleshRotTitle","Flesh Rot"
"ContagionFleshRotDescription","The creature has disadvantage on Charisma checks and is vulnerable to all damage."
"ContagionMindfireTitle","Mindfire"
"ContagionMindfireDescription","The creature has disadvantage on Intelligence checks and Intelligence saving throws, and behaves as if under the effects of the confusion spell during combat."
"ContagionSeizureTitle","Seizure"
"ContagionSeizureDescription","The creature has disadvantage on Dexterity checks, Dexterity saving throws, and attack rolls that use Dexterity."
"ContagionSlimyDoomTitle","Slimy Doom"
"ContagionSlimyDoomDescription","The creature has disadvantage on Constitution checks and Constitution saving throws. In addition, whenever the creature takes damage, it is stunned until the end of its next turn."
"DispelEvilAndGoodTitle","Dispel Evil and Good"
"DispelEvilAndGoodDescription","Celestial, elementals, feys, fiends, and undead have disadvantage on attacks against you. This spell also allows you to cancel hostile enchantments or dismiss extraplanar creatures hit by your attacks once."
"DominatePersonTitle","Dominate Person"
"DominatePersonDescription","Grants you control over an enemy creature."
"FlameStrikeTitle","Flame Strike"
"FlameStrikeDescription","Conjures a burning column of fire and radiance affecting all creatures inside."
"GreaterRestorationTitle","Greater Restoration"
"GreaterRestorationDescription","Removes one detrimental condition, such as a charm or curse, or an effect that reduces an ability score or hit points."
"HoldMonsterTitle","Hold Monster"
"HoldMonsterDescription","Paralyzes a creature unless it succeeds a WIS saving throw. No effect on undead."
"InsectPlagueTitle","Insect Plague"
"InsectPlagueDescription","Summons a sphere of biting insects."
"MassCureWoundsTitle","Mass Cure Wounds"
"MassCureWoundsDescription","Heals up to 6 creatures."
"WallOfForceTitle","Wall of Force"
"WallOfForceDescription","Conjures an invisible wall that blocks movement and attacks."
"MindTwistTitle","Mind Twist"
"MindTwistDescription","Causes massive psychic damage to hostile creatures around you, and incapacitates them if they fail their INT saving throw."
"CalmEmotionsDescription","Stops allies from being charmed or frightened, or makes enemies indifferent."
"CalmEmotionsOnEnemyDescription","Makes enemies indifferent to your allies unless they are wounded."
"Spell_Flameblade_Title","Flame Blade"
"Spell_Flameblade_Description","Evokes a fiery blade for ten minutes that you can wield in battle."
"GustOfWindDescription","A line of strong wind blasts from you in the direction of your choice for the spell's duration."
"SacredFlameTitle_backer","Sacred Flame*"
"DominateBeastTitle","Dominate Beast"
"DominateBeastDescription","Grants you control over an enemy beast."
"CircleOfDeathTitle","Circle of Death"
"CircleOfDeathDescription","A sphere of negative energy causes Necrotic damage from a point you choose"
"FreezingSphereTitle","Freezing Sphere"
"FreezingSphereDescription","Toss a huge ball of cold energy that explodes on impact"
"TrueSeeingTitle","True Seeing"
"TrueSeeingDescription","A creature you touch gains True Sight for one hour"
"BladeBarrierTitle","Blade Barrier"
"BladeBarrierWallTitle","Blade Barrier (Wall)"
"BladeBarrierRingTitle","Blade Barrier (Ring)"
"BladeBarrierDescription","Conjures a wall of razor sharp blades which causes 6d10 slashing damage to anyone crossing it"
"ChainLightningTitle","Chain Lightning"
"ChainLightningDescription","Target a creature with lightning, which can arc to 3 other targets within 30 feet."
"DisintegrateTitle","Disintegrate"
"DisintegrateDescription","Causes massive force damage on the target, which can be disintegrated if reduced to 0 hit points"
"EyebiteTitle","Eyebite"
"EyebiteDescription","Your eyes gain a specific property which can target a creature each turn"
"EyebiteAsleepTitle","Eyebite (Asleep)"
"EyebiteAsleepDescription","The creature falls asleep unless shaken or hurt"
"EyebitePanickedTitle","Eyebite (Panicked)"
"EyebitePanickedDescription","The creature becomes frightened and must run away from you"
"EyebiteSickenedTitle","Eyebite (Sickened)"
"EyebiteSickenedDescription","The creature has disadvantage to attacks until a WIS save is succeeded"
"GlobeOfInvulnerabilityTitle","Globe Of Invulnerability"
"GlobeOfInvulnerabilityDescription","A sphere surrounding you prevents any spell up to 5th level to affect anyone inside it. "
"HarmTitle","Harm"
"HarmDescription","Inflicts devastating necrotic damage and reduces the maximum hit points accordingly. Cannot drop the target below 1 hit points"
"HealTitle","Heal"
"HealDescription","Heals 70 hit points and also removes blindness and diseases"
"HeroesFeastTitle","Heroes Feast"
"HeroesFeastDescription","Summons a feast which cures most ailments and grants immunity to poisonand being frightened, WIS save advantage, and increased maximum hitpoints"
"SunbeamTitle","Sunbeam"
"SunbeamDescription","You conjure a line of radiance which can burn and blind creatures in the line of effect; undead and oozes save with disadvantage. The beam can be retargeted each turn"
"ProduceFlameTitle","Produce Flame"
"ProduceFlameDescription","Conjures a flickering flame in your hand, which generates light or can be hurled to inflict fire damage"
"ShillelaghTitle","Shillelagh"
"ShillelaghDescription","Conjures a magical club which attacks are magical and use your spellcasting ability instead of strength"
"HeatMetalTitle","Heat Metal"
"HeatMetalDescription","Cause the metallic armor worn by a creature to glow red hot, causing fire damage and disadvantage to attack rolls and ability checks. The damage and effects can be repeated every turn with a bonus action."
"MoonBeamTitle","Moon Beam"
"MoonBeamDescription","Conjures a vertical column of moonlight which causes radiant damage. Shapechangers have disadvantage on hte save."
"SpikeGrowthTitle","Spike Growth"
"SpikeGrowthDescription","Grows spikes and thorns in the area, making the terrain difficult and causing damage for every moved cell"
"CallLightningTitle","Call Lightning"
"CallLightningDescription","Calls a vertical bolt of lightning to strike a target. The bolt can be repeated by an action every turn."
"ConjureFeyTitle","Conjure Fey"
"ConjureFeyDescription","Conjures a fey creature of challenge rating 6 that fights alongside you. If you lose concentration, the creature remains and becomes hostile."
"WallOfThornsTitle","Wall of Thorns"
"WallOfThornsDescription","Conjures a fey creature of challenge rating 6 that fights alongside you. If you lose concentration, the creature remains and becomes hostile."
