"context","source","target"
"AbilityScoreIncreaseRemainingFormat","Remaining point(s): {0}/{1}"
"ProficiencyAutoSelectButtonDescription","Let the computer make the choices for now."
"ProficiencyAutoSelectButtonTitle","Auto"
"ProficiencyBonusGainFormat","Increased to {0}
Affects all attacks, saving throws, skill & tool checks, and spell DC."
"ProficiencyBonusGainTitle","Proficiency Bonus"
"ProficiencyEditButtonDescription","Go back on proficiency step and make changes."
"ProficiencyEditButtonTitle","Change"
"ProficiencyEffectsDescription","Proficiency in a saving throw, skill, tool, or weapon lets you add your proficiency bonus to the corresponding ability check. Proficiency in feats, languages, and armors lets you use them. Expertise in skills and tools doubles the proficiency bonus. "
"ProficiencyExpertiseChoicesPluralFormat","Choose {0} trained skills or {1} to become expert in (double proficiency)"
"ProficiencyExpertiseChoicesSingleFormat","Choose {0} trained skills or {1} to become expert in (double proficiency)"
"ProficiencyFeatChoicesPluralFormat","Choose {0} feats"
"ProficiencyFeatChoicesSingleFormat","Choose {0} feat"
"ProficiencyIntroductionCreationDescription","Your ancestry, class, and background let you choose proficiencies in skills, tools, feats, and languages."
"ProficiencyIntroductionLevelUpDescription","Gaining a level gives you new proficiencies to choose."
"ProficiencyLanguageChoicesPluralFormat","Choose {0} languages"
"ProficiencyLanguageChoicesSingleFormat","Choose {0} language"
"ProficiencyResetAllButtonDescription","Reset all allocated proficiency points."
"ProficiencyResetAllButtonTitle","Reset All"
"ProficiencyResetButtonDescription","Reset allocated proficiency points for this step."
"ProficiencyResetButtonTitle","Reset"
"ProficiencySelectionStageDescription","This stage chooses the character's proficiencies: skills, expertise, languages, and more."
"ProficiencySelectionStageFailSpendAllPointsDescription","You must spend all your proficiency points before proceeding."
"ProficiencySelectionStageTitle","Proficiencies"
"ProficiencySkillChoicesPluralFormat","Choose {0} skills"
"ProficiencySkillChoicesPluralListFormat","Choose {0} skills from {1}"
"ProficiencySkillChoicesSingleFormat","Choose {0} skill"
"ProficiencySkillChoicesSingleListFormat","Choose {0} skills from {1}"
"ProficiencyToolTypeChoicesPluralFormat","Choose {0} tools"
"ProficiencyToolTypeChoicesPluralListFormat","Choose {0} tools among {1}"
"ProficiencyToolTypeChoicesSingleFormat","Choose {0} tool"
"ProficiencyToolTypeChoicesSingleListFormat","Choose {0} tool among {1}"
"RaceSelectionStageDescription","This stage determines the character's ancestry and its features."
"RaceSelectionStageNoneSelectedDescription","You must select an ancestry."
"RaceSelectionStageTitle","Ancestry"
"RaceSubraceCountDescription","{0} of {1} lineages"
"SexFemaleTitle","Female"
"SexMaleTitle","Male"
"SpellLearnPluralTitle","Select {0} spells to learn."
"SpellLearnSingleTitle","Select a spell to learn."
"SpellScribePluralTitle","Select {0} spells to scribe into your spellbook."
"SpellScribeSingleTitle","Select a spell to scribe into your spellbook."
"SpellSelectionStageDescription","This stage allows you to choose the character's spells."
"SpellSelectionStageFailLearnSpellsDescription","You must learn all your spells before proceeding."
"SpellSelectionStageTitle","Spells"
"SubclassSelectionStageDomainTitle","Divine
Domain"
"SubclassSelectionStageMartialDescription","This stages chooses a martial archetype for the character."
"SubclassSelectionStageMartialFeatures","Martial Archetype Features"
"SubclassSelectionStageMartialHeader","Select Martial Archetype"
"SubclassSelectionStageMartialNoneDescription","You must select a martial archetype."
"SubclassSelectionStageMartialTitle","Martial
Archetype"
"SubclassSelectionStageOathDescription","This stage chooses the character's sacred oath."
"SubclassSelectionStageOathFeatures","Sacred Oath Features"
"SubclassSelectionStageOathHeader","Select Sacred Oath"
"SubclassSelectionStageOathNoneDescription","You must select a sacred oath."
"SubclassSelectionStageOathTitle","Sacred
Oath"
"SubclassSelectionStageRangerDescription","This stages selects the character's ranger archetype."
"SubclassSelectionStageRangerFeatures","Ranger Archetype Features"
"SubclassSelectionStageRangerHeader","Select Ranger Archetype"
"SubclassSelectionStageRangerNoneDescription","You must select a ranger archetype."
"SubclassSelectionStageRangerTitle","Ranger
Archetype"
"SubclassSelectionStageRoguishDescription","This stage selects the character's roguish archetype."
"SubclassSelectionStageRoguishFeatures","Roguish Archetype Features"
"SubclassSelectionStageRoguishHeader","Select a Roguish Archetype"
"SubclassSelectionStageRoguishNoneDescription","You must select a roguish archetype."
"SubclassSelectionStageRoguishTitle","Roguish
Archetype"
"SubclassSelectionStageSubclassDescription","This stages selects the character's subclass."
"SubclassSelectionStageSubclassFeatures","Subclass Features"
"SubclassSelectionStageSubclassHeader","Select Subclass"
"SubclassSelectionStageSubclassTitle","Subclass"
"SubclassSelectionStageTraditionDescription","This stages selects the character's arcane tradition."
"SubclassSelectionStageTraditionFeatures","Arcane Tradition Features"
"SubclassSelectionStageTraditionHeader","Select Arcane Tradition"
"SubclassSelectionStageTraditionNoneDescription","You must select an arcane tradition."
"SubclassSelectionStageTraditionTitle","Arcane
Tradition"
"UnlockedClassFeaturesTitle","Unlocked Class Features"
"UnlockedRaceFeaturesTitle","Unlocked Ancestry Features"
"SpellIntroductionCreationDescription","Select new spells or cantrips to learn."
"SpellSelectionHeaderTitle","Select Spells"
"AbilityScoresStageFailMinimalStrengthDescription","A character must have a minimum strength of {0} to start adventuring."
"IdentityMorphotypeAgeHeader","Age"
"IdentityPronounTitle","Pronoun"
"PronounMaleTitle","He"
"PronounFemaleTitle","She"
"PronounNonBinaryTitle","They"
"BackgroundPersonalityFlagsTitle","Background Personality Flags (choose two)"
"AlignementPersonalityFlagsTitle","Additional Personality Flags (choose two)"
"AlignementLawAxisTitle","Law"
"AlignementChaosAxisTitle","Chaos"
"AlignementGoodAxisTitle","Good"
"AlignementEvilAxisTitle","Evil"
"SpellSelectionStageFailNotEnoughPagesDescription","None of your spellbooks contains enough room to scribe these spells. You must acquire a new spellbook to complete the level up sequence."
"SubclassSelectionStageSorcerousOriginDescription","This stage chooses a sorcerous origin for the character"
"SubclassSelectionStageSorcerousOriginFeatures","Sorcerous Origin Features"
"SubclassSelectionStageSorcerousOriginHeader","Select a Sorcerous Origin"
"SubclassSelectionStageSorcerousOriginTitle","Sorcerous Origin"
"ProficiencyIgnoreButtonTitle","Ignore"
"ProficiencyIgnoreButtonDescription","Ignore this step"
"SpellUnlearnPluralTitle","Select {0} spells to unlearn"
"SpellUnlearnSingleTitle","Select a spell to unlearn"
"SubclassSelectionStageSorcerousDescription","This stage chooses a sorcerous origin for the character"
"SubclassSelectionStageSorcerousFeatures","Sorcerous Origin Features"
"SubclassSelectionStageSorcerousHeader","Select a Sorcerous Origin"
"SubclassSelectionStageSorcerousTitle","Sorcerous Origin"
"ProficiencyMetamagicChoicesSingleFormat","Choose {0} Metamagic options"
"ProficiencyMetamagicChoicesPluralFormat","Choose {0} Metamagic options"
"SubclassSelectionStageSorcerousNoneDescription","You must select a sorcerous origin."
"SubclassSelectionStagePathDescription","This stage chooses a primal path for the character"
"SubclassSelectionStagePathFeatures","Primal Path Features"
"SubclassSelectionStagePathHeader","Select a Primal Path"
"SubclassSelectionStagePathTitle","Primal Path"
"SubclassSelectionStageCircleDescription","This stage chooses a druid circle for the character"
"SubclassSelectionStageCircleFeatures","Druid Circle Features"
"SubclassSelectionStageCircleHeader","Select a Druid Circle"
"SubclassSelectionStageCircleTitle","Druid Circle"
