"context","source","target"
"AbilityAndSkillFormat","{0} ({1})"
"ConditionChilledDescription","Cannot gain hit points. If undead, disadvantage on attacking the caster."
"ConditionChilledTitle","Chilled"
"ConditionCriticalCharacterDescription","If this character dies, the game is over."
"ConditionCriticalCharacterTitle","Critical Character"
"ConditionCursedActionDescription","Must make a WIS saving throw to act."
"ConditionCursedActionTitle","Cursed (Action)"
"ConditionCursedAttackRollDescription","Disadvantage to attack roll against caster."
"ConditionCursedAttackRollTitle","Cursed (Attack Roll)"
"ConditionCursedCharismaDescription","Disadvantage on CHA saving throws and ability checks."
"ConditionCursedCharismaTitle","Cursed (Charisma)"
"ConditionCursedConstitutionDescription","Disadvantage on CON saving throws and ability checks."
"ConditionCursedConstitutionTitle","Cursed (Constitution)"
"ConditionCursedDamageDescription","Caster's attacks and spells against the target deal an extra 1d8 necrotic damage."
"ConditionCursedDamageTitle","Cursed (Damage)"
"ConditionCursedDexterityDescription","Disadvantage on DEX saving throws and ability checks."
"ConditionCursedDexterityTitle","Cursed (Dexterity)"
"ConditionCursedIntelligenceDescription","Disadvantage on INT saving throws and ability checks."
"ConditionCursedIntelligenceTitle","Cursed (Intelligence)"
"ConditionCursedStrengthDescription","Disadvantage on STR saving throws and ability checks."
"ConditionCursedStrengthTitle","Cursed (Strength)"
"ConditionCursedTitle","Cursed"
"ConditionCursedWisdomDescription","Disadvantage on WIS saving throws and ability checks."
"ConditionCursedWisdomTitle","Cursed (Wisdom)"
"ConditionDarkvisionDescription","See normally in dim light, and in natural darkness as if in dim light."
"ConditionDarkvisionTitle","Darkvision"
"ConditionDazzledDescription","Cannot take reactions and has -2 Armor Class penalty."
"ConditionDazzledTitle","Dazzled"
"ConditionDeadDescription","Cannot act until revived or resurrected."
"ConditionDeadTitle","Dead"
"ConditionDeafenedDescription","Cannot hear anything."
"ConditionDeafenedTitle","Deafened"
"ConditionDetectEvilandGoodDescription","Detected as aberration, celestial, elemental, fey, fiend, or undead."
"ConditionDetectEvilandGoodTitle","Detected as Evil/Good"
"ConditionDetectMagicDescription","Able to detect magic nearby."
"ConditionDetectMagicTitle","Detect Magic"
"ConditionDiscipleImmuneColdDescription","Immune to cold damage and regain HP from cold."
"ConditionDiscipleImmuneColdTitle","Scholar of the Elements (Cold)"
"ConditionDiscipleImmuneFireDescription","Immune to lightning damage and regain HP from lightning."
"ConditionDiscipleImmuneFireTitle","Scholar of the Elements (Fire)"
"ConditionDiscipleImmuneLightningDescription","Immune to fire damage and regain HP from fire."
"ConditionDiscipleImmuneLightningTitle","Scholar of the Elements (Lightning)"
"ConditionDiseasedDescription","The creature is afflicted with a disease."
"ConditionDiseasedTitle","Diseased"
"ConditionDisengagingDescription","Unaffected by opportunity attacks."
"ConditionDisengagingTitle","Disengaging"
"ConditionDivineFavorDescription","Deals 1d4 additional radiant damage."
"ConditionDivineFavorTitle","Divine Favor"
"ConditionDivinelyRevealedDescription","The creature's type and position are known to the caster of this effect."
"ConditionDivinelyRevealedTitle","Divinely Revealed"
"ConditionDodgingDescription","Attacks on creature have disadvantage."
"ConditionDodgingTitle","Dodging"
"ConditionDyingDescription","Will die soon unless stabilized."
"ConditionDyingTitle","Dying"
"ConditionEncumberedDescription","Speed is reduced by 2."
"ConditionEncumberedTitle","Encumbered"
"ConditionEnfeebledDescription","Half damage on STR based attacks."
"ConditionEnfeebledTitle","Weakened"
"ConditionEntangledTitle","Entangled"
"ConditionExhaustedDescription","Weakened by exhaustion."
"ConditionExhaustedTitle","Exhausted"
"ConditionExpeditiousRetreatDescription","Can dash as a bonus action."
"ConditionExpeditiousRetreatTitle","Expeditious Retreat"
"ConditionFalseLifeDescription","Additional temporary hit points."
"ConditionFalseLifeTitle","False Life"
"ConditionFeatherFallingDescription","Cannot be hurt by falls."
"ConditionFeatherFallingTitle","Feather Falling"
"ConditionFlyingDescription","Target creature gains a flying speed of 12 cells per move action."
"ConditionFlyingTitle","Flying"
"ConditionForceOfLawDescription","Impose disadvantage on the target's next saving throw."
"ConditionForceOfLawTitle","Force of Law"
"ConditionFormAddBeneficialFormat","Grants: {0}"
"ConditionFormAddDetrimentalFormat","Inflicts: {0}"
"ConditionFormAddNeutralFormat","Becomes: {0}"
"ConditionFormRemoveDetrimentalAllFormat","Removes all occurrences of these conditions: {0}."
"ConditionFormRemoveDetrimentalRandomFormat","Removes one random occurrence of these conditions: {0}."
"ConditionFormRemoveFormat","Removes: {0}"
"ConditionFrightenedDescription","Unable to approach the source of fear, disadvantage on attack rolls and ability checks."
"ConditionFrightenedFearDescription","Must run away from the source of fear."
"ConditionFrightenedFearTitle","Frightened (Fear)"
"ConditionFrightenedTitle","Frightened"
"ConditionGateKeeperDescription","Advantage to death saving throws."
"ConditionGateKeeperTitle","Gate Keeper"
"ConditionGiantStrengthCloudDescription","Strength becomes 27"
"ConditionGiantStrengthCloudTitle","Giant Strength (Cloud)"
"ConditionGiantStrengthFireDescription","Strength becomes 25"
"ConditionGiantStrengthFireTitle","Giant Strength (Fire)"
"ConditionGiantStrengthFrostDescription","Strength becomes 23"
"ConditionGiantStrengthFrostTitle","Giant Strength (Frost)"
"ConditionGiantStrengthHillDescription","Strength becomes 21"
"ConditionGiantStrengthHillTitle","Giant Strength (Hill)"
"ConditionGrappledDescription","Cannot move."
"ConditionGrappledTitle","Grappled"
"ConditionGuidedDescription","Add 1d4 to one ability check."
"ConditionGuidedTitle","Guided"
"ConditionHastedDescription","Speed is doubled; +2 AC; Dexterity saving throws have advantage; able to take one more action per turn (Attack, Dash, Dodge, Disengage, Hide, Use Item)."
"ConditionHastedTitle","Hasted"
"ConditionHealthyDescription","Not wounded."
"ConditionHealthyTitle","Healthy"
"ConditionHeavilyEncumberedDescription","Speed is reduced by 4.
Disadvantage to attack rolls."
"ConditionHeavilyEncumberedTitle","Heavily Encumbered"
"ConditionHeavilyObscuredTitle","Heavily Obscured"
"ConditionHeraldOfBattleDescription","+1 to AC; +1 to attack and damage; +1 to all saving throws."
"ConditionHeraldOfBattleTitle","Blessed by Herald of Battle"
"ConditionHeroismTitle","Heroism"
"ConditionHighlightedDescription","Creature cannot benefit from invisibility, attackers have advantage."
"ConditionHighlightedTitle","Highlighted"
"ConditionHinderedDescription","Move speed -2."
"ConditionHinderedTitle","Hindered"
"ConditionIncapacitatedDescription","Unable to take actions or reactions."
"ConditionIncapacitatedTitle","Incapacitated"
"ConditionInStinkingCloudDescription","The creature has to make a successful CON saving to act on its turn.
Vision is heavily obscured."
"ConditionInStinkingCloudTitle","In Stinking Cloud"
"ConditionInvisibleDescription","Cannot be seen without magic; creature has advantage on attacks; attackers have disadvantage."
"ConditionInvisibleTitle","Invisible"
"ConditionJumpDescription","Jump distance increased."
"ConditionJumpTitle","Jump"
"ConditionLethargicDescription","The creature cannot move or take any action until after its next turn."
"ConditionLethargicTitle","Lethargic"
"ConditionLevitateDescription","The target creature hovers; caster can move it up or down."
"ConditionLevitateTitle","Levitating"
"ConditionLifeDrainedDescription","Maximum hit points are reduced until a long rest is completed."
"ConditionLifeDrainedTitle","Drained"
"ConditionLightHypersensitiveDescription","Wounded by light."
"ConditionLightHypersensitiveTitle","Light Hypersensitive"
"ConditionLightSensitiveDescription","Disadvantaged by light."
"ConditionLightSensitiveTitle","Light Sensitive"
"ConditionLongstriderDescription","Move speed increases by 2 cells."
"ConditionLongstriderTitle","Longstrider"
"ConditionMagicallyArmoredDescription","Base Armor Class is set to 13."
"ConditionMagicallyArmoredTitle","Mage Armored"
"ConditionMagicallyAsleepDescription","Unable to act until awoken."
"ConditionMagicallyAsleepTitle","Magically Asleep"
"ConditionMagicalWeaponDescription","Weapon can wound enemies that are immune to non-magical attacks."
"ConditionMagicalWeaponTitle","Magical Weapon"
"ConditionMarkedByBrandingSmiteDescription","Emits light; cannot become invisible; revealed if invisible."
"ConditionMarkedByBrandingSmiteTitle","Branding Smite"
"ConditionMarkedByHunterDescription","Receives +1d6 damage when hit by the caster."
"ConditionMarkedByHunterTitle","Hunter's Mark"
"ConditionMindControlledTitle","Mind Controlled"
"ConditionOnFireDescription","Sustains continuous fire damage unless the fire is extinguished by an action."
"ConditionOnFireTitle","On Fire"
"ConditionParalyzedDescription","Unable to act; attacks against creature have advantage; automatic critical hit if attacked from a neighboring cell."
"ConditionParalyzedTitle","Paralyzed"
"ConditionPetrifiedDescription","Turned into stone; can hardly be hurt."
"ConditionPetrifiedTitle","Petrified"
"ConditionPoisonedDescription","Disadvantage on attacks and ability checks."
"ConditionPoisonedTitle","Poisoned"
"ConditionPossessedDescription","Controlled by a supernatural being."
"ConditionPossessedTitle","Possessed"
"ConditionProneDescription","Can only move by crawling; vulnerable to close attacks."
"ConditionProneTitle","Prone"
"ConditionProtectedFromEvilTitle","Protected from Evil and Good"
"ConditionResistingDescription","Add +1d4 to one saving throw."
"ConditionResistingTitle","Resistant"
"ConditionRestrainedDescription","Unable to move; creature's attacks and Dexterity saving throws have disadvantage; attacks against creature have advantage."
"ConditionRestrainedTitle","Restrained"
"ConditionSeeInvisibilityDescription","Can perceive invisible creatures."
"ConditionSeeInvisibilityTitle","Invisibility Sight"
"ConditionSeverelyWoundedDescription","Will soon die."
"ConditionSeverelyWoundedTitle","Severely Wounded"
"ConditionShieldedByFaithDescription","Armor Class +2."
"ConditionShieldedByFaithTitle","Shielded by Faith"
"ConditionShieldedDescription","Armor Class increases by +5 and immunity to magic missile."
"ConditionShieldedTitle","Shielded"
"ConditionShockedDescription","Cannot use reactions."
"ConditionShockedTitle","Shocked"
"ConditionSleetStormDescription","Difficult terrain; can fall prone; heavily obscured; must roll concentration check."
"ConditionSleetStormTitle","In Sleet Storm"
"ConditionSlowedDescription","Speed halved; -2 to AC and DEX saves; max one action or bonus action; no reaction; max one attack per turn; spellcasting can fail."
"ConditionSlowedTitle","Slowed"
"ConditionSpiderClimbDescription","Able to climb like a spider."
"ConditionSpiderClimbTitle","Spider Climb"
"ConditionSpiritGuardiansDescription","Speed is halved; can sustain damage at the start of each turn."
"ConditionSpiritGuardiansSelfDescription","The character is currently protected by Spirit Guardians."
"ConditionSpiritGuardiansSelfTitle","Protected by Spirits."
"ConditionSpiritGuardiansTitle","Targeted by Spirits"
"ConditionStealthyDescription","Actively hiding."
"ConditionStealthyTitle","Stealthy"
"ConditionStunnedDescription","Unable to act or move; attacks against creatures have advantage; automatically fails Strength and Dexterity saving throws."
"ConditionStunnedTitle","Stunned"
"ConditionSurprisedDescription","Unable to act for one round."
"ConditionSurprisedTitle","Surprised"
"ConditionTargetedByGuidingBoltDescription","First attack against this creature has advantage."
"ConditionTargetedByGuidingBoltTitle","Targeted by Guiding Bolt"
"ConditionTemporaryHitPointsDescription","The creature gains temporary hit points."
"ConditionTemporaryHitPointsTitle","Temporary HP"
"ConditionTraditionShockArcanistArcaneFuryDescription","Damage of evocation spells increases by proficiency bonus and INT bonus."
"ConditionTraditionShockArcanistArcaneFuryTitle","Arcane Fury"
"ConditionTrueStrikeDescription","Caster has advantage on his first attack against the spell's target."
"ConditionTrueStrikeTitle","True Strike"
"ConditionTurnedDescription","Must move away from caster."
"ConditionTurnedTitle","Turned"
"ConditionTypeBeneficialFormat","Beneficial Condition"
"ConditionTypeDetrimentalFormat","Detrimental Condition"
"ConditionTypeNeutralFormat","Neutral Condition"
"ConditionUnconsciousDescription","Unable to act until awoken."
"ConditionUnconsciousTitle","Unconscious"
"ConditionVampiricTouchDescription","Can perform a vampiric melee spell attack each turn."
"ConditionVampiricTouchTitle","Vampiric Touch"
"ConditionWoundedDescription","Lost some hit points."
"ConditionWoundedTitle","Wounded"
"CostFormat","{0} {1}"
"CounterFormBreakConcentrationFormat","Provokes a concentration check."
"CounterFormDisperseCloudFormat","Disperses clouds in the area."
"CounterFormDissipateSpellsFormat","Spell up to level {0} automatically dispelled, DC {1}+ spell level otherwise."
"CounterFormExtinguishLightFormat","Extinguishes light sources in the area."
"CounterFormInterruptSpellcastingFormat","Spell up to level {0} automatically countered, DC {1}+ spell level otherwise."
"CounterFormRemoveDarknessFormat","Removes areas of darkness."
"DamageAcidDescription","The corrosive spray of a black dragon's breath and the dissolving enzymes secreted by a black pudding deal acid damage."
"DamageAcidTitle","Acid"
"DamageBludgeoningDescription","Blunt force attacks - hammers, falling, constriction, and the like - deal bludgeoning damage."
"DamageBludgeoningTitle","Bludgeoning"
"DamageColdDescription","The infernal chill radiating from an ice devil's spear and the frigid blast of a white dragon's breath deal cold damage."
"DamageColdTitle","Cold"
"DamageFireDescription","Red dragons breathe fire, and many spells conjure flames to deal fire damage."
"DamageFireTitle","Fire"
"DamageForceDescription","Force is pure magical energy focused into a damaging form. Most effects that deal force damage are spells, including magic missile and spiritual weapon."
"DamageForceTitle","Force"
"DamageFormFormat","{0}{1}{2}{3} damage {4}"
"DamageFormTightFormat","{0}{1}{2}{3} dmg {4}"
"DamageLightningDescription","A lightning bolt spell and a blue dragon's breath deal lightning damage."
"DamageLightningTitle","Lightning"
"DamageNecroticDescription","Necrotic damage, dealt by certain undead and spells such as chill touch, withers matter and even the soul."
"DamageNecroticTitle","Necrotic"
"DamagePiercingDescription","Puncturing and impaling attacks, including spears and monster bites, deal piercing damage."
"DamagePiercingTitle","Piercing"
"DamagePoisonDescription","Venomous stings and the toxic gas of a green dragon's breath deal poison damage."
"DamagePoisonTitle","Poison"
"DamagePsychicDescription","Mental abilities deal psychic damage."
"DamagePsychicTitle","Psychic"
"DamageRadiantDescription","Radiant damage, dealt by a cleric's flame strike spell or an angel's smiting weapon, sears the flesh like fire and overloads the spirit with power."
"DamageRadiantTitle","Radiant"
"DamageSlashingDescription","Swords, axes, and monsters' claws deal slashing damage."
"DamageSlashingTitle","Slashing"
"DamageThunderDescription","A concussive burst of sound, such as the effect of the thunderwave spell, deals thunder damage."
"DamageThunderTitle","Thunder"
"DamageTitle","Damage: "
"DcFormat","DC {0}"
"DieD10Title","d10"
"DieD12Title","d12"
"DieD1Title","d1"
"DieD20Title","d20"
"DieD2Title","d2"
"DieD3Title","d3"
"DieD4Title","d4"
"DieD6Title","d6"
"DieD8Title","d8"
"DivinationFormFormatIdentifyItem","Reveals all the properties of an item."
"DivinationFormFormatListCreatureFamilyInLocation","Senses the presence of creature types: {0}."
"DivinationFormFormatRevealEntitiesBearingTags","Reveals creatures or objects which are {0}."
"DurationAnyRestFormat","Until any rest"
"DurationDayPluralFormat","{0} days"
"DurationDaySingleFormat","{0} day"
"DurationHourPluralFormat","{0} hours "
"DurationHourSingleFormat","{0} hour "
"DurationInstantaneousFormat","Instant"
"DurationLessMinuteFormat","<1 min"
"DurationLongRestFormat","Until long rest"
"DurationMinutePluralFormat","{0} minutes "
"DurationMinuteSingleFormat","{0} minute "
"DurationNoneFormat","{0} round "
"DurationPermanentFormat","Permanent"
"DurationRoundPluralFormat","{0} rounds "
"DurationRoundSingleFormat","{0} round "
"DurationShortRestFormat","Until short rest"
"DurationUntilEndOfSourceTurnFormat","Until the end of the source character's turn."
"DurationUntilEndOfTargetTurnFormat","Until the end of this character's turn."
"DurationUntilStartOfSourceTurnFormat","Until the start of the source character's turn."
"DurationUntilStartOfTargetTurnFormat","Until the start of this character's turn."
"EffectRangeDistanceTitle","{0}"
"EffectRangeMeleeHitTitle","Melee Hit"
"EffectRangeRangeHitTitle","Ranged Hit {0}"
"EffectRangeSelfTitle","Self"
"EffectRangeTouchTitle","Touch"
"EffectTargetConeTitle","{0} {1}"
"EffectTargetCubeTitle","{0} {1}"
"EffectTargetCylinderTitle","{0} {1} x {2}"
"EffectTargetIndividualsTitle","{0}{1}"
"EffectTargetIndividualsUniqueTitle","{0}{1}"
"EffectTargetInLineOfSightWithinDistanceTitle","In Sight {0}"
"EffectTargetItemTitle","Item"
"EffectTargetLineTitle","{0} {1}"
"EffectTargetPerceivingWithinDistanceTitle","{0}{1}"
"EffectTargetPositionTitle","Ground"
"EffectTargetSelfTitle","Self"
"EffectTargetSharedAmongIndividualsTitle","{0} <> {1}"
"EffectTargetSphereTitle","{0} {1}"
"EffectTargetWallLineTitle","{0} {1} x {2}"
"EffectTargetWallRingTitle","{0} {1} x {2}"
"HealingFormFormat","{0}{1}{2} healing"
"HealingStabilize","Stabilizes a dying creature."
"HeightFormatFeet","{0}'"
"HeightFormatFeetInches","{0}'{1}"";{0}' {1}'';{0}'{1}"""
"ItemPropertyFormFormat","On target item: 
{0}"
"LightSourceFormFormat","light source: {0} bright + {1} dim "
"MaterialComponentTitle","M"
"MotionFormLevitateFormat","Levitate {0}"
"MotionFormPullFormat","Pull in {0}"
"MotionFormPushFormat","Push away {0}"
"MotionFormTeleportFormat","Teleport {0}"
"RateAtWillFormatTitle","at will"
"RateChannelDivinityFormatTitle","short rest"
"Rated6FormatTitle","on 5 or 6 on 1d6"
"RateDawnFormatTitle","dawn"
"RateHealingPoolFormatTitle","healing pool"
"RateLongRestFormatTitle","long rest"
"RateNoneFormatTitle","none"
"RateOneMinuteFormatTitle","every minute"
"RateShortRestFormatTitle","short rest"
"RateSpellSlotFormatTitle","spell slots"
"RecipeRequiredIngredientMultipleFormat","{0} x {1}"
"RecipeRequiredIngredientSingleFormat","{0}"
"RecipeRequiredSpellFormat","Ability to cast the {0} spell."
"RecipeRequiredTooltypeFormat","Proficiency with {0}"
"SaveAffinityHalfDamageTitle","(save for {0})"
"SaveAffinityNegateAndCancelEachTurnTitle","(save each turn to cancel)"
"SaveAffinityNegateTitle","(save to negate)"
"SituationalContextAttackerAwayFromTargetFormat","If attacker is away from the target:"
"SituationalContextAttackerNextToTargetFormat","If attacker is next to the target:"
"SituationalContextAttackerOnHigherGroundThanTargetFormat","If attacker is on higher ground:"
"SituationalContextConsciousAllyNextToTargetFormat","if attacker has a conscious ally next to the target:"
"SituationalContextNextToWallFormat","if creature is next to a wall:"
"SituationalContextTargetIsEffectSourceFormat","if creature is attacking the source of the effect:"
"SomaticComponentTitle","S"
"SpellLevel0FormatTitle","Cantrip"
"SpellLevel1FormatTitle","1st Level"
"SpellLevel2FormatTitle","2nd Level"
"SpellLevel3FormatTitle","3rd Level"
"SpellLevel4FormatTitle","4th Level"
"SpellLevel5FormatTitle","5th Level"
"SpellLevel6FormatTitle","6th Level"
"SpellLevel7FormatTitle","7th Level"
"SpellLevel8FormatTitle","8th Level"
"SpellLevel9FormatTitle","9th Level"
"SpellSlotFormRecoverHalfLevelUpFormat","Recover half your class level (rounded up) of spells slots up to level {0}."
"SummonFormCreaturesMultipleFormat","Summon {0} (x {1})."
"SummonFormCreaturesSingleFormat","Summon {0}."
"SummonFormEffectProxyFormat","Summon ""{0}"" for you to control "
"SummonFormInventoryItemsMultipleFormat","Summon {0} (x {1}) to the inventory"
"SummonFormInventoryItemsSingleFormat","Summon {0} to the inventory"
"TemporaryHitPointsFormFormat","{0}{1}{2} temporary hit points"
"TopologyFormProjectileBlockerFormat","Blocks ordinary projectiles (arrows, bolts, etc.)"
"TopologyFormSightBlockerFormat","Blocks line of sight"
"TurnOccurenceEndOfTurnFormat","End of Round"
"TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat","End of Turn"
"TurnOccurenceStartOfTurnFormat","Start of Turn"
"VerboseComponentTitle","V"
"VersatileDamageFormFormat","
Versatile: {0}{1}{2}{3}"
"VersatileTwoHandedTitle","Two-handed: "
"WeightFormat","{0} {1}"
"WeightRatioFormat","{0}/{1} {2}"
"TopologyFormDifficultThroughFormat","This area slows down those who walk through it."
"TopologyFormSightImpairedFormat","Creatures in this area cannot see anything."
"TopologyFormDangerousZoneFormat","This area hurts those who walk through it."
"EffectTargetCubeWithOffsetTitle","3-cell cube originating from you"
"ConditionBlessingSorrtarrTitle","Blessing of Sorr-Tarr"
"ConditionBlessingSorrtarrDescription","Appears to relieve the Soraks of their vulnerability to light."
"ConditionAnnoyedByBeeTitle","Distracted by an Annoying Bee"
"ConditionAnnoyedByBeeDescription","Disadvantage on concentration until next turn."
"ConditionDetectPoisonAndDiseaseTitle","Detect Poison and Disease"
"ConditionDetectPoisonAndDiseaseDescription","For the duration of the spell, you can sense poisonous creatures and disease within 6 cells of you."
"ConditionCharmedByAnimalFrienshipTitle","Charmed by Animal Friendship"
"ConditionCharmedByAnimalFrienshipDescription","This beast will be charmed for the spell's duration, or until you or one of your companions harms it."
"ConditionSanctuaryTitle","Sanctuary"
"ConditionSanctuaryDescription","You ward a creature within range against attack. Until the spell ends, any creature who targets the warded creature with an attack or harmful spell must make a Wisdom saving throw or choose another target."
"ConditionWardedBySanctuaryTitle","Shielded by Sanctuary"
"ConditionWardedBySanctuaryDescription","You are warded until the spell ends or until you cast a spell or launch an attack."
"ConditionProtectedFromEnergyAcidTitle","Protected from Acid"
"ConditionProtectedFromEnergyAcidDescription","Resistance to acid damage"
"ConditionProtectedFromEnergyColdTitle","Protected from Cold"
"ConditionProtectedFromEnergyColdDescription","Resistance to cold damage"
"ConditionProtectedFromEnergyFireTitle","Protected from Fire"
"ConditionProtectedFromEnergyFireDescription","Resistance to fire damage"
"ConditionProtectedFromEnergyLightningTitle","Protected from Lightning"
"ConditionProtectedFromEnergyLightningDescription","Resistance to lightning damage"
"ConditionProtectedFromEnergyThunderTitle","Protected from Thunder"
"ConditionProtectedFromEnergyThunderDescription","Resistance to thunder damage"
"AlterationFormDissipateSpellFormat","Dissipates spells on objects"
"ConditionMindControlledByConjureAnimalTitle","Conjured Animal"
"ConditionMindControlledByConjureAnimalDescription","This animal has been conjured by another creature."
"ConditionSilencedTitle","Silenced"
"ConditionWardedByWardingBondTitle","Warded by Warding Bond"
"ConditionWardedByWardingBondDescription","Temp"
"ConditionWaterWalkTitle","Water Walking"
"ConditionWaterWalkDescription","Temp"
"ConditionWaterBreathingTitle","Water Breathing"
"ConditionWaterBreathingDescription","Temp"
"ConditionRestrictedInsideMagicCircleDescription","Temp"
"ConditionProtectedInsideMagicCircleDescription","Temp"
"ConditionComprehendLanguagesTitle","Comprehending Languages"
"ConditionComprehendLanguagesDescription","Can read and speak any language."
"ConditionStaffOfMetisTitle","Elemental Resistance"
"ConditionStaffOfMetisDescription","Resistance to Cold, Fire, and Lightning damage."
"ConditionFlying6Description","The target creature gains a flying speed of 6 cells per move action."
"AlterationFormAbilityScoreIncreaseValueFormat","Increases {0} score by {1}."
"AlterationFormAbilityScoreIncreaseMaximumFormat","Increases {0} maximum by {1}."
"ConditionHeavyArmorOverloadDescription","Insufficient STR for this heavy armor. Speed is reduced by 2."
"ConditionHeavyArmorOverloadTitle","Heavy Armor Overload"
"MoveModeWalkTitle","Walk"
"MoveModeClimbTitle","Climb"
"MoveModeFlyTitle","Fly"
"MoveModeIncorporealTitle","Incorporeal"
"MoveModeSwimTitle","Swim"
"MoveModeBurrowTitle","Burrow"
"ConditionCloakOfDisplacementDescription","Attacks on this creature have disadvantage as long as it is conscious and able to move. Ceases to function until the next turn if damaged."
"ConditionCloakOfDisplacementTitle","Displaced"
"ConditionHeavilyObscuredDescription","Creature's vision is heavily obscured; disadvantage on attack rolls; attack rolls against creature have disadvantage."
"ConditionConjuredCreatureDescription","This creature has been conjured by a magical effect"
"ConditionConjuredCreatureTitle","Conjured Creature"
"ConditionBleedingDescription","The creatures takes 1D6 necrotic damage at the beginning of its turn."
"ConditionBleedingTitle","Doomblade Cut"
"ConditionSilencedDescription","The creature does not emit any sound and cannot speak or cast spells with a verbal component."
"ConditionProtectedFromEvilDescription","Aberrations, celestials, elementals, feys, fiends, and undead have disadvantage to attack the target, and cannot charm, frighten, or possess it. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect."
"ConditionMarkedByFateDescription","Receives additional damage when hit."
"ConditionMarkedByFateTitle","Mark of Fate"
"ConditionStepbackDescription","Advantage on the next attack with a bow this turn."
"ConditionStepbackTitle","Step Back Advantage"
"ConditionInvisibleGreaterDescription","Cannot be seen without magic; the creature has advantage on attacks; attackers have disadvantage. The creature remains invisible even when attacking and casting spells."
