"context","source","target"
"holy axe","Note from Nikannen"
"KickstarterDemoDisclaimerDescription2","Text to be added"
"EarlyAccessDisclaimerDescription","Hey there folks! Welcome to Solasta - or more specifically, the Early Access of Solasta: Crown of the Magister. We really appreciate your support. You're all fantastic!

Please bear in mind that you are playing an Early Access version of Solasta: Crown of the Magister which is still under development. This Early Access version contains around 10 hours of gameplay and gives you access to the full Character Creation Tool with all ancestries, classes, and archetypes unlocked, with a level cap at level 6. The full 1.0 release will see a price increase and will deliver the entire main campaign of Solasta: Crown of the Magister, as well as many side quests for you to discover. 

We have done our best to provide a strong and enjoyable experience. However, do note that the Early Access version may contain some occasional bugs. You are warmly invited to send us feedback, report any bugs and problems, or suggest improvements on our Discord server (https://discord.com/invite/uu8utaF) as well on our official forums (https://forums.solasta-game.com/). Our goal is to continue working hand in hand with our players to make a game that is representative of what our community wants. Be sure that our team is currently working hard to release the full version of the Solasta: Crown of the Magister video game that will include lots of additional features and content. 

Considering the fact that game development is a very iterative process, please understand that your save files on the Early Access version will likely be incompatible with larger updates and with the full game release. As such, if you are looking for the complete experience the full version of Solasta: Crown of the Magister can offer, we encourage you not to purchase this Early Access version, but to wait for the release of the full game. Alright, enough reading - go enjoy the game!"
"EarlyAccessDisclaimerTitle","Early Access Disclaimer"
"DisclaimerSteamFestivalDescription","You are aware that what you intend to play is a very early Alpha Demo of the Solasta: Crown of the Magister video game, which is still under development. Be sure that our team is currently working hard to bring Solasta: Crown of the Magister to a whole new level. We are also working on providing you with a fully working Character Creator, allowing you to create and level up a full party with an even wider range of options. The Early Alpha Demo is available for free for a limited period of time only. 

The Early Alpha Demo is hand-crafted to give you an early taste of the Solasta: Crown of the Magister video game, it may contain bugs on rare occasions. You are more than welcome to share your feedback and report any problems or bugs on the Steam platform or directly on our website www.solasta-game.com. We need to hear from you in order to make a game that is representative of what our community wants.

Some rules and features are missing or are not implemented in the Early Alpha Demo. For example, some spells and effects are missing. The Early Alpha Demo allows you to create a full party of characters using the Character Creator tool, but it will not breathe life into your heroes yet. We will of course fix this and try our best to integrate as much content and rules as possible for the final game. Some of the game features are also not demonstrated at all in the Early Alpha Demo, but will be part of the final game: leveling up a full party created with a wide range of options, playing through a campaign storyline, and much more.
"
"DisclaimerSteamFestivalTitle","Important Disclaimer"
"JoinCommunityAddress","https://forums.solasta-game.com/"
"JoinCommunityTitle","Join Our Community"
"SteamWishlistAddress","https://store.steampowered.com/app/1096530/Solasta_Crown_of_the_Magister/"
"SteamWishlistTitle","Wishlist us on Steam"
"YoutubeAddress","https://www.youtube.com/tacticaladventures"
"YoutubeTitle","Subscribe on YouTube"
"CaerCyflen_Annie_Bagmordah_Store_ScavengersTitle","Scavengers' Headquarters"
"CaerCyflen_Dalon_Lark_Store_EinarTitle","Temple of Einar Contact"
"CaerCyflen_Gorim_Ironsoot_StoreTitle","General Store for Adventurers"
"CaerCyflen_Halman_Summer_Store_AntiquariansTitle","Antiquarians Contact"
"CaerCyflen_Heddlon_Surespell_Store_ArcaneumTitle","Arcaneum Contact"
"CaerCyflen_Hugo_Requer_StoreTitle","Magic and Curiosities"
"CaerCyflen_Joriel_Foxeye_Store_CircleOfDanantarTitle","Circle of Danantar Contact"
"CaerCyflen_Karel_Martel_Store_BartenderTitle","Inn Services"
"CaerCyflen_Maddy_Greenisle_Store_ToKTitle","Tower of Knowledge Contact"
"CaerCyflenWeaponsmith2Description","not use atm"
"CaerCyflenWeaponsmith2Title","Generic Weaponsmith"
"CaerCyflenWeaponsmithDescription","not use atm"
"CaerCyflenWeaponsmithTitle","Generic Weaponsmith"
"Telema_Merchant_Wanderer_TelemaTitle","Wandering Merchant"
"Coparann_Atima_StoreTitle","Local Cleric of Arun"
"CC_PriestessPakri","Priestess of Pakri"
"CC_PriestMaraike","Priest of Maraike"
"CC_PriestArun","Rogar Ardentfire"
"Circe_Title","Enchantment Manuals Merchant"
"AdventuringTitle","Adventuring Gear"
"AllTitle","All Items"
"ArmorTitle","Armor"
"CraftingTitle","Crafting"
"IngredientTitle","Ingredients"
"MagicDeviceTitle","Magic Devices"
"WeaponTitle","Weapons"
"LifeDrainTitle","Life Drain"
"AerElai_Title","THE AER-ELAI"
"BADLANDS_Title","THE BADLANDS"
"CopperheadRoad_Title","COPPERHEAD\nROAD"
"DUCHY_caercyflen_Title","Duchy of\nCaer Cyflen"
"DUCHY_easternforests_Title","Duchy of\nthe Eastern Forests"
"DUCHY_northernhills_Title","Duchy of\nthe Northern Hills"
"DUCHY_northernplains_Title","Duchy of\nthe Northern Plains"
"DUCHY_southmarsh_Title","Duchy of\nthe South Marsh"
"DUCHY_westernfields_Title","Duchy of\nthe Western Fields"
"Einarium_Title","THE Einareum"
"GALLIVAN_Title","KINGDOM OF\nGALLIVAN"
"Kaupaapunki_Title","KAUPAAPUNKI"
"MASGARTH_Title","PRINCIPALITY\nOF MASGARTH"
"NEWEMPIRE_Title","THE NEW EMPIRE"
"Sandreed_Title","SANDREED"
"SNOWALLIANCE_Title","THE SNOW ALLIANCE"
"FactionRelationDecreaseDescription","Your relations with this faction have worsened."
"FactionRelationDecreaseTitle","Relations Worsened ({0})"
"FactionRelationIncreaseDescription","Your relations with this faction have improved."
"FactionRelationIncreaseTitle","Relation Improved ({0})"
"LocationRevealedDescription","A new destination is available."
"LocationRevealedTitle","New Location Revealed"
"MapWaypointRevealedDescription","Click to open the map."
"MapWaypointRevealedTitle","New Waypoint Added"
"MonsterInformationDescription","Your knowledge has increased."
"MonsterInformationTitle","Bestiary Updated"
"QuestStepAchievedDescription","You have successfully completed a quest objective."
"QuestStepAchievedTitle","Objective Completed"
"QuestStepFailedDescription","You have failed to complete a quest objective."
"QuestStepFailedTitle","Objective Failed"
"QuestStepStartedDescription","You have started a new objective for this quest."
"QuestStepStartedTitle","New Objective"
"RecipeLearnedDescription","Check your crafting options."
"RecipeLearnedTitle","New Crafting Option"
"HeaderQuestCompletedTitle","Quest Completed"
"HeaderQuestFailedTitle","Quest Failed!"
"HeaderQuestNewTitle","New Quest Started"
"ArcaneRecoveryDescription","Once per day when you complete a short rest, you can recover a number of expended spell slots (max 5th level) up to half of your wizard level, rounded up."
"ArcaneRecoveryTitle","Arcane Recovery"
"AttuneItemDescription","Attuning to an item accesses its advanced properties and functions."
"AttuneItemTitle","Attune Item"
"LevelUpDescription","Start the level up sequence for this character."
"LevelUpTitle","Level Up"
"PrepareSpellsDescription","You can change your list of prepared spells when you finish a long rest."
"PrepareSpellsTitle","Prepare Spells"
"ArcaneRecoveryExecutedDescription","Activating <b>Arcane Recovery</b> has allowed {0} to regain the following spell slots:"
"NaturalRecoveryTitle","Natural Recovery"
"NaturalRecoveryDescription","Once per day when you complete a short rest, you can recover a number of expended spell slots (max 5th level) up to half of your druid level, rounded up."
"AbjurationTitle","Abjuration"
"ConjurationTitle","Conjuration"
"DivinationTitle","Divination"
"EnchantmentTitle","Enchantment"
"EvocationTitle","Evocation"
"IllusionTitle","Illusion"
"NecromancyTitle","Necromancy"
"TransmutationTitle","Transmutation"
"GargantuanTitle","Gargantuan"
"HugeTitle","Huge"
"LargeTitle","Large"
"MediumTitle","Medium"
"SmallTitle","Small"
"TinyTitle","Tiny"
"SpellListClericTitle","Cleric Spells"
"SpellListPaladinTitle","Paladin Spells"
"SpellListRangerTitle","Ranger Spells"
"SpellListSpellbladeTitle","Spellblade Spells"
"SpellListWizardTitle","Wizard Spells"
"SpellListSorcererTitle","Sorcerer Spells"
"SpellListDruidTitle","Druid Spells"
"ConcentrationFormat","{0} is concentrating to maintain the spell ""{1}""."
"ConcentrationStopDescription","Click to stop concentrating."
"HealthStatusFormat","Health: {0}"
"ReadiedCantripAttackFormat","{0} is ready to use a cantrip attack if the opportunity arises."
"ReadiedMeleeAttackFormat","{0} is ready to use a melee attack if the opportunity arises."
"ReadiedRangedAttackFormat","{0} is ready to use a ranged attack if the opportunity arises."
"ArcticDescription","Areas of snow or permafrost are considered arctic terrain. Beware, this Terrain Type is not used in the Crown of the Magister campaign."
"ArcticTitle","Arctic"
"BadlandsDescription","Most areas covering the former inner provinces of the Manacalon Empire, now a wild mix of various terrain types with chaotic manifestations of post-Cataclysm magic, are considered Badlands terrain."
"CoastDescription","Areas containing a coastline are considered coast terrain. Beware, this Terrain Type is not used in the Crown of the Magister campaign."
"CoastTitle","Coast"
"DablandsTitle","Badlands"
"DesertDescription","Arid areas with little or no rain and minimal vegetation are considered desert terrain."
"DesertTitle","Desert"
"ForestDescription","Areas with lush vegetation and large areas of woods are considered forest terrain."
"ForestTitle","Forest"
"GrasslandDescription","Areas with rare forests and vast areas of green plains are considered grassland terrain."
"GrasslandTitle","Grassland"
"MountainDescription","Areas with rocky ground, hills, and mountains are considered mountain terrain."
"MountainTitle","Mountain"
"SwampDescription","Areas with marshes and ponds and a humid atmosphere are considered swamp terrain."
"SwampTitle","Swamp"
"BasicsTitle","Basics"
"CombatTitle","Combat"
"ExplorationTitle","Exploration"
"InventoryTitle","Inventory"
"TravelTitle","Travel"
"Basics_CameraTitle","Camera"
"Basics_MovingTitle","Moving"
"Basics_PartyMngtTitle","Party Management"
"Basics_QuestTitle","Quest Log"
"CombatMovementTitle","Movement"
"CombatShoveTitle","Shove"
"Exploration_LocationMapTitle","Location Map"
"Exploration_MiscTitle","Miscellaneous"
"Exploration_PointsOfInterestTitle","Points of Interest"
"ExplorationJumpingClimbingTitle","Jumping and Climbing"
"Inventory_LootingTitle","Looting"
"Inventory_SpecialTitle","Special Slots"
"Exploration_MagicTitle","Magic"
"Factions_Title","Faction Relations"
"Factions_Description","The <b>five</b> Council factions have representatives in Caer Cyflen. They can sell you equipment, spells, and many other things. The better your relationship with a faction, the more they have to offer, and the lower their prices.
However, these factions are in competition with each other, which means you can't please them all. Various sub-quests will give you opportunities to improve your relationship with one faction or another.
Keep an eye on the Faction section of the <b>Journal</b>."
"LightAsAWeapon_Title","Turn on the Light!"
"PartyStash_Title","Party Stash"
"PartyStash_Description","This chest is yours to use. No one can loot it, you can stash up to 50 items inside it. Many adventurers use this Scavenger service to store some of their stuff."
"QuickShopping_Title","Quick Shopping"
"QuickShopping_Description","Near a merchant, you'll find a quick shopping interaction. This bypasses the discussion to instantly open the merchant interface. You can still talk to the NPC merchant if needed."
"LightAsAWeapon_Description","Don't forget that light is critical to fighting certain enemies in Solasta.
Soraks, for instance, are more powerful in dim light, and even more so in complete darkness.
This is critical for your survival. Use light spells and torches - check for torch holders to illuminate in the environment!"
"DiffSettings_Title","Difficulty Settings"
"DiffSettings_Description","You can change the difficulty settings of the game on the fly. Just open up the menu, change the settings, and return to play: the changes are applied.

You can pick a difficulty preset or browse the detailed options for a more customized experience."
"Tutorial_Highlight_Title","Highlighting Interactable Objects"
"Tutorial_Highlight_Description","Press and hold the ALT key to highlight various interactable objects: doors, chests, etc."
"EgoPuzzle_Title","The Maddening Puzzle"
"EgoPuzzle_Description","This section of the level is for puzzle enthusiasts. Be warned! Take the shortcut on the right, and you will experience the adventure normally. If you're ready for a rotating, colorful, 3D challenge, go left after the loot of the Mind of the Master. If you change your mind, you'll have to reload. We just autosaved for you, by the way."
"Voice1Title","Voice 1"
"Voice2Title","Voice 2"
"Voice3Title","Voice 3"
"ChildOfDarkness_Title","Child of Darkness"
"ChildOfDarkness_Description","This Sorak is more powerful and regenerates in darkness."
"ChildOfDarkness_ACGain_Title","Soraks gain additional AC when in dim light or darkness."
"ChildOfDarkness_AdditionalDamage2_Title","This creature gains +2 damage when in dim light"
"ChildOfDarkness_AdditionalDamage3_Title","This creature gains +3 damage when in dim light"
"ChildOfDarkness2_Title","Apostle of Darkness"
"ChildOfDarkness2_Description","This Sorak is more powerful and regenerates in dim light, and even more so in darkness."
"ChildOfDarkness3_Title","Prophet of Darkness"
"ChildOfDarkness3_Description","This Sorak is more powerful and regenerates in dim light, and even more so in darkness."
"ChildOfDarkness0_Description","This Sorak is more powerful and regenerates in darkness."
"Lightfiller_01_Title","Wildspring Safe Key Code"
"Lightfiller_01_Content","Do not communicate outside the family"
"Lightfiller_02_Title","Guest Cell Key"
"Lightfiller_02_Content","Communicate at the discretion of the warden"
"ChineseCaracters","Not used"
"CatacombsTitle","Catacombs"
"CatacombsDescription","An underground network of tombs & crypts"
"NecropolisTitle","Necropolis"
"NecropolisDescription","An underground domain of the dead"
"SewersTitle","Sewers"
"SewersDescription","A collection of sewer tunnels & drainage"
"StrongholdTitle","Stronghold"
"StrongholdDescription","The interior of a stone castle"
"ElvenPalaceTitle","Elven Palace"
"ElvenPalaceDescription","A luxurious vestige of the realm of Manacalon"
"LavaCavesTitle","Lava Caves"
"LavaCavesDescription","An underground network of caves inhabited by tribal creatures"
"WoodlandTitle","Woodland"
"WoodlandDescription","Navigate through a series of clearings inside a temperate forest"
"CR0_Loot_PackTitle","CR0 Loot"
"CR1_Loot_PackTitle","CR1 Loot"
"CR2_Loot_PackTitle","CR2 Loot"
"CR3_Loot_PackTitle","CR3 Loot"
"CR4_Loot_PackTitle","CR4 Loot"
"CR5_Loot_PackTitle","CR5 Loot"
"NoneTitle","<None>"
"CaerLemTitle","Caer Lem"
"CaerCyflenTitle","Caer Cyflen"
"DarkCastleExteriorTitle","Dark Castle (Exterior)"
"CoparanTitle","Coparann"
"WizardsTowerTitle","Wizard's Tower"
"MastermindTitle","Mastermind"
"CradleOfFireTitle","Cradle of Fire"
"AerElaiTitle","Aer Elai"
"TheNecromancerTitle","The Necromancer"
"RuinsOfTelemaTitle","Ruins of Telema"
"PrisonEscapeTitle","Prison Escape"
"TheLightBringersTitle","The Lightbringers"
"ShadowsTitle","Shadows"
"CollapsingRoofTitle","Collapsing Roof"
"CollapsingRoofDescription","Several rocks and boulders fall to the ground"
"DisturbingRunesTitle","Disturbing Runes"
"DisturbingRunesDescription","Mind-affecting runes damage the soul and cause random behavior"
"DeathGlyphTitle","Death Glyph"
"DeathGlyphDescription","Stepping on this causes necrotic damage and terror"
"FireBurstTitle","Fire Burst"
"FireBurstDescription","An eruption causes fire damage"
"GroundSpikesTitle","Ground Spikes"
"GroundSpikesDescription","Spikes rise from the ground, causing piercing damage"
"LightningDischargeTitle","Lightning Discharge"
"LightningDischargeDescription","Discharges electricity in the vicinity, causing electrical damage"
"PoisonCloudTitle","Poison Cloud"
"PoisonCloudDescription","A noxious cloud inflicts poison damage and the poisoned condition"
"GemsTitle","Gems"
"ConsumablesTitle","Consumables"
"MagicWeapons_ArmorsTitle","Magic Weapons and Armor"
"Wondrous_ItemsTitle","Wondrous Items"
"IngredientsTitle","Ingredients"
"Mundane_GearTitle","Mundane Gear"
"25_GP_Art_ItemsTitle","25 gp Art Items"
"50_GP_Art_ItemsTitle","50 gp Art Items"
"BackerItemsTitle","Backer Item Pack"
"BackerItemsDescription","Unlocks the One Ring, Dwarven Bread, 6 League Boots, Spoon of Discord and Early Bird items. Can be found in a chest near the Monument next to the Council."
"DigitalBackerContentTitle","Digital Edition Pack"
"DigitalBackerContentDescription","Unlocks the Everlasting Torch item and special VFX versions of Burning Hands and Sacred Flame. Can be found in a chest near the Monument next to the Council."
"LoadedDiceTitle","Loaded Dice Pack"
"LoadedDiceDescription","Unlock the Loaded Dice item. Can be found near the Monument in a chest next to the Council."
"SorcererUpdateTitle","Sorcerer Update"
"SorcererUpdateDescription","Unlocks the Sorcerer class and its 3 subclasses, iron man mode and new Dungeon Maker content"
"SupporterPackTitle","Supporter Pack"
"SupporterPackDescription","Unlocks exclusive dice, a vast amount of high resolution Concept Art, and the eternal love of the Tactical Adventures team"
"PrimalPowerTitle","Primal Power"
"PrimalPowerDescription","Unlocks the Barbarian & Druid character classes, to play with any adventure of Solasta"
"RosLastName","Ros"
