"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"Armor_Scholar_ClothesTitle","Scholar's Clothing"
"Armor_SplintDescription","This armor is made of narrow, vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints."
"Armor_SplintTitle","Splint"
"Armor_StuddedLeatherDescription","Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
"Armor_StuddedLeatherTitle","Studded Leather"
"Armor_VigdisDescription","This scale mail is a family heirloom, made with the renowned craftsmanship of the dwarven master smiths of the Snow Alliance."
"Armor_VigdisTitle","Kaikkonen Family Armor"
"ArrowPlus1Title","Arrow +1"
"ArrowTypeTitle","Arrow"
"ArtisanToolsCategoryTitle","Artisan's tools ({0})"
"ArtisanToolSmithToolsTypeDescription","These specialists are needed to pursue a craft or trade."
"ArtisanToolSmithToolsTypeTitle","Smith's tools"
"ArtItems_25_GP_Comb","Silver Comb"
"ArtItems_25_GP_Embroidered_silk_scarf","Embroidered Silk Scarf"
"ArtItems_25_GP_Engraved_bone_dice","Engraved Bone Dice"
"ArtItems_25_GP_Generic_Description","A valuable item that you can sell to a shop."
"ArtItems_25_GP_Gold_bracelet","Gold Bracelet"
"ArtItems_25_GP_Gold_locket","Gold Locket"
"ArtItems_25_GP_Mirror","Mirror"
"ArtItems_25_GP_Silver_brooch","Silver Brooch"
"ArtItems_25_GP_Silver_chalice","Silver Chalice"
"ArtItems_25_GP_Statuette","Bronze Statuette"
"ArtItems_25_GP_Velvet_mask","Velvet Mask"
"ArtItems_50_GP_Animal_figurines","Animal Figurines"
"ArtItems_50_GP_Bronze_crown","Bronze Crown"
"ArtItems_50_GP_Embroided_silk_robe","Embroidered Silk Robe"
"ArtItems_50_GP_Gem_bracelet","Jeweled Bracelet"
"ArtItems_50_GP_Gem_encrusted_chalice","Jeweled Chalice"
"ArtItems_50_GP_Gem_ring","Jeweled Ring"
"ArtItems_50_GP_Gemstone_pendant","Gemstone Pendant"
"ArtItems_50_GP_Generic_Description","A valuable item that you can sell to a shop."
"ArtItems_50_GP_Gold_dragon_statuette","Gold Dragon Statuette"
"ArtItems_50_GP_Imperial_figurine","Imperial Figurine"
"ArtItems_50_GP_Ivory_statuette","Ivory Statuette"
"ArtItems_50_GP_Jade_Pendant","Jade Pendant"
"AttackModifier","Attack Bonus"
"Bacgkground_Academic_Item_Description","A personal journal to keep note of your adventures and discoveries for posterity."
"Bacgkground_Academic_Item_Title","Notebook"
"Bacgkground_Acolyte_Item_Description","A simple book containing prayers to your god, in common language and old Tirmarian."
"Bacgkground_Acolyte_Item_Title","Prayerbook"
"Bacgkground_Aristocrat_Item_Description","This ring bears the arms of your noble family, marking you as a member."
"Bacgkground_Aristocrat_Item_Title","Sigil Ring"
"Bacgkground_Lawkeeper_Item_Description","You're not supposed to wear it anymore, but this badge was once a symbol of your authority as a law enforcement deputy."
"Bacgkground_Lawkeeper_Item_Title","Lawkeeper's Badge"
"Bacgkground_Sellsword_Item_Description","A mark of your service and courage during your days as a sword for hire."
"Bacgkground_Sellsword_Item_Title","Military Campaign Ribbon"
"Backpack3Title","Bag of Holding"
"BackpackDescription","The adventurer's indispensable friend. Holds as much gear as you want - if you are strong enough to carry it."
"BackpackTitle","Backpack"
"BaseArmorDescription","AC set to {0}
+ DEX bonus"
"BaseArmorNoDexDescription","AC set to {0}
No DEX bonus"
"BaseArmorWithCapDescription","AC set to {0}
+ DEX bonus (max {1})"
"BattleaxeTypeTitle","Battleaxe"
"BlankScrollDescription","Needed to craft a spell scroll."
"BlankScrollTitle","Blank Scroll"
"BlowgunTypeTitle","Blowgun"
"BoltplusOne","Bolt +1"
"BoltTypeTitle","Crossbow Bolt"
"BoneKeep_Angbi_Bones_Description","A pile of different bones that could be part of a person's skeleton. Some of these bones appear to bear some kind of animal teeth marks."
"BoneKeep_Angbi_Bones_Title","A Pile of Bones"
"BoneKeep_Document_AdventurerJournal01_Description","Part of a journal with a series of notes, found on a dead adventurer inside the Solar Maze."
"BoneKeep_Document_AdventurerJournal01_text1","Aksha told me that if we wanted to meet the Master we would have to find the stairs and then follow a specific path."
"BoneKeep_Document_AdventurerJournal01_text2","Once we find the stairs we need to go down, go up."
"BoneKeep_Document_AdventurerJournal01_text3","After that she told us to turn right, go up, and then go down one more time…"
"BoneKeep_Document_AdventurerJournal01_Title","Adventurer's Journal"
"BoneKeep_Document_AdventurerJournal02_Description","A series of pages from a journal."
"BoneKeep_Document_AdventurerJournal02_text1","Last night we finally found the stairs! I think Aksha was holding back on us, because they're not real stairs - just some kind of symbol…"
"BoneKeep_Document_AdventurerJournal02_text2","In the morning we will start again and this time we will follow the path to the maze's exit. I now am very sure the main stair in the middle of the maze is actually the way out."
"BoneKeep_Document_AdventurerJournal02_text3","I was right! We followed the sign and it seems to work - we're getting closer to the main stair. Today we found two new symbols and… Wait! I don't think we're alone in the maze. I can hear them coming towards me. We will move away from that room and try to hide until…"
"BoneKeep_Document_AdventurerJournal02_Title","Adventurer's Notes"
"BoneKeep_Document_AkshasJournal_Description","A locked book containing Aksha's notes since her arrival at the Keep."
"BoneKeep_Document_AkshasJournal_text1","Lizzaria sent another party of her stupid zombies. One of them was an ogre, as if that would make things harder. Reek and Filth took care of it - I didn't even have to walk out. When will she understand that her attempts are useless? I'm getting tired of pretending to ignore who sends these monsters. I'm also getting tired of Mardracht. The old elf is powerful, for sure, but his mind is in decay. While he barricades himself in his solar, I've read all his damn books, but learned almost nothing."
"BoneKeep_Document_AkshasJournal_text2","A Doom Gem. It took me forever to imbue it enough power to make it worthwhile. I still don't understand how the wizards of Manacalon could have done it in less than a year. Anyway, now I could use it to craft a nice weapon, but to what end? Killing Lizarria's zombies? I'm losing interest in the project now the difficult part is done. I don't need a magic dagger to make my enemies bleed.
"
"BoneKeep_Document_AkshasJournal_text3","Reek is a good minion. He used to be handsome, but undeath doesn't suit him. Now he's just an obedient little pawn. Who would guess he was once a nobleman? I kept his armor and shield - he doesn't need them any more. Filth was always scum, but now at least she is of some use. She brings corpses to feed the ghouls, so I don't have to walk through piles of rotting fools. I'm thinking of creating another Brood, though. A nice, meaty Brood of Flesh would be nice. Maybe next month."
"BoneKeep_Document_AkshasJournal_Title","Aksha's Journal"
"BoneKeep_Magic_Rune_Description","This magic rune probably harnessed an extremely powerful spell, whose secret has been lost with the Cataclysm."
"BoneKeep_Magic_Rune_Title","Depleted Rune"
"BonusArmorDescription","{0} to AC"
"BootsLevitationTitle","Boots of Levitation"
"BootsSpecialDescription","These boots are of superior manufacture."
"BootsSpecialTitle","Beautiful Boots"
"BracersOfArcheryTitle","Bracers of Archery"
"BracersOfArcheryUnidentifiedDescription","These finely decorated bracers may have magical properties."
"BracersOfArcheryUnidentifiedTitle","Magnificent Bracers"
"BulletTypeTitle","Sling Bullet"
"BurglarPackTitle","Burglar's Pack"
"CaerLem_Daliat_Document_Content","Operational report to the First Whisperer
Investigation of the human clerics and their powers."
"CaerLem_Daliat_Document_Content2","<i>The rest of the text is undecipherable</i>"
"CaerLem_Daliat_Document_Description","An old parchment, written in some kind of elvish cypher."
"CaerLem_Daliat_Document_Title","Silent Whisper Parchment"
"CaerLem_Document_Inquisitor_Content","My Dear Andrey,
I have not had word of you since our desperate exodus to this dreadful world. My thoughts are with you, and I hope we will be reunited one day and live in peace at last.
We hoped for a friendly and peaceful world, far from the reach of the Enemy, but alas, we have found only fresh enemies, and our seers tell me that the Sorr-Akkath are not far behind. The war is not over, and we must also face these Manacalons.
They wield magic as potent as that of any priest, yet the High Priest assures us that there are no gods in this world.
These are dark times, and they will test us, but this world is our last hope.
May the Lord of Valor watch over you, my love.
Artus"
"CaerLem_Document_Inquisitor_Content2","Most of the pages have been torn out. Only this last page remains."
"CaerLem_Document_Inquisitor_Description","A leather-bound book, hand-written in the Tirmarian language."
"CaerLem_Document_Inquisitor_Title","Tirmarian Inquisitor's Journal"
"CaerLem_Document_MasterSmith_Content","Memories of the War Foundry
Entry 23"
"CaerLem_Document_MasterSmith_Content2","I must confess, the wonders of Solasta's enchanters are awe-inspiring.
Thanks to Laerin, my new friend at the war foundry, I've learned how to prime weapons for enchantment. Of course, only Laerin has the magical knowledge to complete the… miracle. Arun pardon me for this word, but what this elvish magic can accomplish is simply god-like. 
Alas, our troops are massing to besiege the Rift and stop the enemy once and for all. I am ready for my first magical weapon, a gift for my Lady Karyn. She is already a formidable fighter, but with the blade Laerin will enchant, she will be even more so. 
I have collected various enchantments, and I am not sure yet which one will please her most."
"CaerLem_Document_MasterSmith_Description","A leather-bound book, hand-written in the Tirmarian language."
"CaerLem_Document_MasterSmith_Title","Tirmarian Master Smith's Memoirs"
"CaerLem_Gate_Plaque_Content","TDC illustration"
"CaerLem_Gate_Plaque_Description","A silvered plaque from a pre-Cataclysm magical Gate."
"CaerLem_Gate_Plaque_Title","Imperial Gate Plaque"
"CaerLem_Henrik_Notebook_Content","…something is wrong with the captain. I told the lieutenant but she didn't listen. She can't believe Henrik could be wrong about anything. I may have to confront him myself… "
"CaerLem_Henrik_Notebook_Description","A page torn from a notebook."
"CaerLem_Henrik_Notebook_Title","Notebook page"
"CaerLem_TirmarianSymbol_Description","This amulet looks like it's a Holy Symbol from the pre-Cataclysm era, which means it's of Tirmarian origin. Judging by its shape, it belonged to a priest of Arun."
"CaerLem_TirmarianSymbol_Title","Tirmarian Holy Symbol"
"CandleTitle","Candle"
"ChemicalsDescription","Needed to craft most potions, remedies, and poisons."
"ChemicalsTitle","Chemicals"
"CloseRangeTitle","Close Range"
"ClothesCommonTitle","Common Clothes"
"ClubTypeTitle","Club"
"ComponentPouchDescription","Contains material components for most spells. Costly components are not included."
"ComponentPouchTitle","Component Pouch"
"ContainerArmorStandTitle","Armor Stand"
"ContainerBarrelTitle","Barrel"
"ContainerBasketTitle","Basket"
"ContainerBedTitle","Bed"
"ContainerBucketTitle","Bucket"
"ContainerCartTitle","Cart"
"ContainerChestTitle","Chest"
"ContainerCorpseTitle","Corpse"
"ContainerCrateTitle","Crate"
"ContainerGroundTitle","Ground"
"ContainerLibraryTitle","Library"
"ContainerNightStandTitle","Nightstand"
"ContainerPersonalTitle","Carried Items"
"ContainerPotsTitle","Pots"
"ContainerSackTitle","Sack"
"ContainerWeaponsRackTitle","Weapons Rack"
"CraftingManualContentDescription","To craft the {0}, you require: 
{1}"
"CraftingManualDescription","Read this manual to learn how to craft the {0} item."
"CraftingManualTitle","Crafting {0}"
"CraftingPackDescription","Contains ingredients to start crafting potions."
"CraftingPackTitle","Crafting Starter Pack"
"CurrencyCopperDescription","Copper pieces, each worth one hundredth of a gold piece."
"CurrencyCopperTitle","cp"
"CurrencyElectrumDescription","Electrum pieces, each worth half a gold piece."
"CurrencyElectrumTitle","ep"
"CurrencyGoldDescription","Gold pieces."
"CurrencyGoldTitle","gp"
"CurrencyPlatinumDescription","Platinum pieces, each worth ten gold pieces."
"CurrencyPlatinumTitle","pp"
"CurrencySilverDescription","Silver pieces, each worth one tenth of a gold piece."
"CurrencySilverTitle","sp"
"Dagger_plus_1_Description","An Iron Legion officer's dagger from the Imperial era, finely crafted and imbued with magic."
"Dagger_plus_1_Title","Dagger +1"
"Dagger_plus_1_Unidentified_Description","This rune-engraved dagger is clearly of superior workmanship."
"Dagger_plus_1_Unidentified_Title","Magnificent Dagger"
"DaggerPlus1TypeTitle","Dagger+1"
"DaggerTypeTitle","Dagger"
"DamageModifier","Damage Bonus"
"DartTypeTitle","Dart"
"DeviceAttunedToCharacterFormat","Attuned to {0}"
"DeviceChargesCurrentOverMaxPlural","{0}/{1} charges"
"DeviceChargesCurrentOverMaxSingle","{0}/{1} charge"
"DeviceLastChargeDestroyDescription","Spending the last charge will destroy the item."
"DeviceLastChargeDestroyOn1Description","Spending the last charge and rolling 1 on 1d20 will destroy the item."
"DeviceRequiresAttunementTitle","Requires Attunement (Short Rest)"
"DeviceUsageSingleUseTitle","Consumable"
"DisguiseKitToolTypeDescription","This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise."
"DisguiseKitToolTypeTitle","Disguise Kit"
"DocumentRestUnreadableDescription","The rest of the text is unreadable."
"DungeoneerPackTitle","Dungeoneer's Pack"
"EmptyFlaskDescription","Needed to craft potions, alchemist's fire, or holy water. Can also store acid or oil."
"EmptyFlaskTitle","Empty Flask"
"EmptyVialDescription","Needed to craft poisons or antitoxin."
"EmptyVialTitle","Empty Vial"
"Enchanted_BattleAxe_of_Acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_BattleAxe_of_Acuteness_Title","Battleaxe of Acuteness"
"Enchanted_BattleAxe_of_Sharpness_Description","The masterful effort of Elgador Keenspirit, Magesmith of the Arcaneum."
"Enchanted_BattleAxe_of_Sharpness_Title","Battleaxe of Sharpness"
"Enchanted_BattleAxe_Punisher_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and a Slavestone gave this axe incredible piercing power. "
"Enchanted_BattleAxe_Punisher_Title","Punisher Battleaxe"
"Enchanted_Breastplate_Of_Deflection_Title","Breastplate of Deflection"
"Enchanted_Breastplate_Of_Sturdiness_Title","Breastplate of Sturdiness"
"Enchanted_Chainmail_Of_Robustness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Its design was created by Ildurial Stronghand, for the personal guard of the Empress. "
"Enchanted_Chainmail_Of_Robustness_Title","Chain Mail of Robustness"
"Enchanted_Chainmail_Of_Sturdiness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Its original design had the name of Eaedhel Trueheart engraved on the left breast."
"Enchanted_Chainmail_Of_Sturdiness_Title","Chain Mail of Sturdiness"
"Enchanted_Crown_Of_The_Magister_Item_Description","You have found this Crown in the old tower of magic, guarded by Soraks. It is probably magical, but needs identification."
"Enchanted_Crown_Of_The_Magister_Item_Identified_Description","The Crown is an ancient but incomplete Manacalon artifact whose full powers are probably activated by placing eight magical gems in its empty sockets."
"Enchanted_Crown_Of_The_Magister_Item_Identified_Full_Description","The Crown is complete, and channels the incredible power of the Magister!"
"Enchanted_Crown_Of_The_Magister_Item_Identified_Title","Crown of the Magister"
"Enchanted_Crown_Of_The_Magister_Item_Title","Mysterious Crown"
"Enchanted_Dagger_Frostburn_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Dagger_Frostburn_Title","Frostburn Dagger"
"Enchanted_Dagger_of_acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Dagger_of_acuteness_Title","Dagger of Acuteness"
"Enchanted_Dagger_of_Sharpness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Dagger_of_Sharpness_Title","Dagger of Sharpness"
"Enchanted_Dagger_Souldrinker_Title","Souldrinker Dagger"
"Enchanted_EmpressGarb_Title","Empress Garb Chain Shirt"
"Enchanted_Fullplate_Of_Robustness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard. "
"Enchanted_Fullplate_Of_Robustness_Title","Plate Armor of Robustness"
"Enchanted_Fullplate_Of_Sturdiness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Its design was an early work of Ildurial Stronghand to better protect Imperial shock troops."
"Enchanted_Fullplate_Of_Sturdiness_Title","Plate Armor of Sturdiness"
"Enchanted_GreatAxe_of_Sharpness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_GreatAxe_of_Sharpness_Title","Greataxe of Sharpness"
"Enchanted_Greataxe_Stormblade_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Greataxe_Stormblade_Title","Stormblade Greataxe"
"Enchanted_Greatsword_Doom_Title","Doomblade Greatsword"
"Enchanted_Greatsword_Lightbringer_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Greatsword_Lightbringer_Title","Lightbringer Greatsword"
"Enchanted_Greatsword_of_acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Greatsword_of_acuteness_Title","Greatsword of Acuteness"
"Enchanted_Halfplate_Of_Robustness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers."
"Enchanted_Halfplate_Of_Robustness_Title","Half Plate of Robustness"
"Enchanted_Halfplate_Of_Sturdiness_Title","Half Plate of Sturdiness"
"Enchanted_LeatherArmor_Of_FlameDancing_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Imbued with the essence of fire, this armor enables its wearer to withstand even arcane fire."
"Enchanted_LeatherArmor_Of_FlameDancing_Title","Leather Armor of Flame Dancing"
"Enchanted_LeatherArmor_Of_Robustness_Title","Leather Armor of Robustness"
"Enchanted_LeatherArmor_Of_Sturdiness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Its design was an early work of Ildurial Stronghand to better protect Imperial scouts."
"Enchanted_LeatherArmor_Of_Sturdiness_Title","Leather Armor of Sturdiness"
"Enchanted_LeatherArmor_Of_Survival_Title","Leather Armor of Survival"
"Enchanted_Longbow_Lightbringer_Title","Lightbringer Longbow"
"Enchanted_Longbow_Lightning_Description","This enchanted weapon was created using the ancient knowledge of Colthannin's master bowyers. It was designed by Galar Stormforge, the first dwarven smith to harness the power of the storm in a weapon - to devastating effect!"
"Enchanted_Longbow_Lightning_Title","Stormbow"
"Enchanted_Longbow_Of_Accuracy_Description","This enchanted weapon was created using the ancient knowledge of Colthannin's master bowyers."
"Enchanted_Longbow_Of_Accuracy_Title","Longbow of Accuracy"
"Enchanted_Longsword_Dragonblade_Title","Dragonblade"
"Enchanted_Longsword_Frostburn_Title","Frostburn Longsword"
"Enchanted_Longsword_of_acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Longsword_of_acuteness_Title","Longsword of Acuteness"
"Enchanted_Longsword_Storm_Title","Stormblade Longsword"
"Enchanted_Longsword_Warden_Title","Wardenblade"
"Enchanted_Mace_Of_Acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Mace_Of_Acuteness_Title","Mace of Acuteness"
"Enchanted_Mace_Of_Smashing_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Created to breach fortifications faster, this mace also found its way into the crucible of war to break shield walls."
"Enchanted_Mace_Of_Smashing_Title","Mace of Smashing"
"Enchanted_Morningstar_Bearclaw_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage - just as expected by Ildurial Stronghand, who designed the first weapon of this kind."
"Enchanted_Morningstar_Bearclaw_Title","Bear's Claw"
"Enchanted_Morningstar_Of_Power_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strength. Manacalon arcanists created this morning star to give champions of the Iron Legions the strength their elven bodies didn't provide."
"Enchanted_Morningstar_Of_Power_Title","Morningstar of Power"
"Enchanted_Rapier_Adder_Title","Black Viper"
"Enchanted_Rapier_Doom_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Rapier_Doom_Title","Doomblade Rapier"
"Enchanted_Rapier_of_acuteness_Description","This enchanted weapon was created using the ancient knowledge of Manacalon's master armorers. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum."
"Enchanted_Rapier_of_acuteness_Title","Rapier of Acuteness"
"Enchanted_ScaleArmor_Of_IceDancing_Description","This enchanted armor was forged using the ancient knowledge of Manacalon's master armorers. Lestoreth Steelarm crafted the first armor of this kind for the Iron Legions on their march into the Frozen North."
"Enchanted_ScaleArmor_Of_IceDancing_Title","Scale Armor of Frost Walking"
"Enchanted_ScaleArmor_Of_Sturdiness_Description","This enchanted armor was created using the ancient knowledge of Manacalon's master armorers."
"Enchanted_ScaleArmor_Of_Sturdiness_Title","Scale Armor of Sturdiness"
"Enchanted_Scimitar_Of_Acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Scimitar_Of_Acuteness_Title","Scimitar of Acuteness"
"Enchanted_Shortbow_Medusa_Description","This enchanted weapon was created using the ancient knowledge of Colthannin's master bowyers. Magic melded medusa coral and hardwood to create a deadly bow, favored by the boarding parties of island halflings."
"Enchanted_Shortbow_Medusa_Title","Medusa Bow"
"Enchanted_Shortbow_Of_Accuracy_Description","This enchanted weapon was created using the ancient knowledge of Colthannin's master bowyers. Its original design bore the sigil of Defineth Sharpsight, a renowned sylvan elf enchanter."
"Enchanted_Shortbow_Of_Accuracy_Title","Shortbow of Accuracy"
"Enchanted_Shortbow_Of_Sharpshooting_Description","This enchanted weapon was forged using the ancient knowledge of Colthannin's master bowyers. The Coedymwarth preferred to deal with Manacalon's arcanists physically rather than magically. Its best archers were given those shortbows, the creation of Defineth Sharpsight. "
"Enchanted_Shortbow_Of_Sharpshooting_Title","Shortbow of Sharpshooting"
"Enchanted_Shortsword_Lightbringer_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Shortsword_Lightbringer_Title","Lightbringer Shortsword"
"Enchanted_Shortsword_of_acuteness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Shortsword_of_acuteness_Title","Shortsword of Acuteness"
"Enchanted_Shortsword_of_Sharpness_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths."
"Enchanted_Shortsword_of_Sharpness_Title","Shortsword of Sharpness"
"Enchanted_Shortsword_Whiteburn_Description","This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps the south of his domain between the Sioltafin and the Scarafin."
"Enchanted_Shortsword_Whiteburn_Title","Whiteburn"
"ExplorerPackTitle","Explorer's Pack"
"FireArrowTitle","Fire Arrow"
"FlailTypeTitle","Flail"
"FreezeSwordTitle","[Temp]Longsword +2, Freezing"
"FunctionAtWillTitle","at will"
"FunctionCastSpellFormat","Cast {0}{1}"
"FunctionChargeCostFormatPlural","{0} charges"
"FunctionChargeCostFormatSingle","{0} charge"
"FunctionCommandFear","Command (Fear)"
"FunctionConeFear","Cone of Fear"
"FunctionIterationFormat","{0} per {1}"
"FunctionPotionDrinkTitle","Drink Potion"
"FunctionPotionHealOtherTitle","Heal Other"
"FunctionPowerFormat","{0}{1}:\n{2}"
"FunctionRechargeDurationFormat","every {0}"
"GamingSetCategoryTitle","Gaming Set ({0})"
